Words,Features,# of words in microsoft,# of unique words in all documents,Condition prob of given word in microsoft
geniu,2,3242,2844,0.000492935
notifi,0,3242,2844,0.000164312
arriv,0,3242,2844,0.000164312
local,2,3242,2844,0.000492935
office,14,3242,2844,0.002464673
deliver,3,3242,2844,0.000657246
sunday,0,3242,2844,0.000164312
magic,0,3242,2844,0.000164312
meet,2,3242,2844,0.000492935
butler,0,3242,2844,0.000164312
click,0,3242,2844,0.000164312
link,0,3242,2844,0.000164312
never,4,3242,2844,0.000821558
feel,5,3242,2844,0.000985869
worst,0,3242,2844,0.000164312
speaker,0,3242,2844,0.000164312
spoil,0,3242,2844,0.000164312
luck,0,3242,2844,0.000164312
surviv,1,3242,2844,0.000328623
addict,0,3242,2844,0.000164312
welcome,2,3242,2844,0.000492935
club,0,3242,2844,0.000164312
innovation,5,3242,2844,0.000985869
exhibit,0,3242,2844,0.000164312
instead,2,3242,2844,0.000492935
watch,4,3242,2844,0.000821558
game,2,3242,2844,0.000492935
sport,0,3242,2844,0.000164312
hiss,0,3242,2844,0.000164312
berry,0,3242,2844,0.000164312
power,3,3242,2844,0.000657246
guy,3,3242,2844,0.000657246
witchcraft,0,3242,2844,0.000164312
lead,0,3242,2844,0.000164312
notification,0,3242,2844,0.000164312
search,22,3242,2844,0.003779165
cover,2,3242,2844,0.000492935
mail,2,3242,2844,0.000492935
wifi,0,3242,2844,0.000164312
sync,0,3242,2844,0.000164312
backup,1,3242,2844,0.000328623
integrate,3,3242,2844,0.000657246
jame,0,3242,2844,0.000164312
stewart,0,3242,2844,0.000164312
story,0,3242,2844,0.000164312
importance,0,3242,2844,0.000164312
architecture,0,3242,2844,0.000164312
retail,1,3242,2844,0.000328623
success,2,3242,2844,0.000492935
world,9,3242,2844,0.001643115
impressive,2,3242,2844,0.000492935
metro,6,3242,2844,0.001150181
centre,1,3242,2844,0.000328623
cable,0,3242,2844,0.000164312
book,1,3242,2844,0.000328623
grati,0,3242,2844,0.000164312
show,11,3242,2844,0.001971738
hairline,0,3242,2844,0.000164312
happen,2,3242,2844,0.000492935
edge,3,3242,2844,0.000657246
taken,0,3242,2844,0.000164312
min,2,3242,2844,0.000492935
write,0,3242,2844,0.000164312
convert,0,3242,2844,0.000164312
grass,0,3242,2844,0.000164312
greener,0,3242,2844,0.000164312
backside,0,3242,2844,0.000164312
impress,1,3242,2844,0.000328623
space,0,3242,2844,0.000164312
creative,0,3242,2844,0.000164312
product,5,3242,2844,0.000985869
inspire,2,3242,2844,0.000492935
unbelievable,0,3242,2844,0.000164312
present,3,3242,2844,0.000657246
requir,0,3242,2844,0.000164312
finally,6,3242,2844,0.001150181
stupid,1,3242,2844,0.000328623
learn,18,3242,2844,0.003121919
lesson,0,3242,2844,0.000164312
absolutely,0,3242,2844,0.000164312
invent,0,3242,2844,0.000164312
parent,2,3242,2844,0.000492935
listen,1,3242,2844,0.000328623
create,6,3242,2844,0.001150181
folder,1,3242,2844,0.000328623
within,1,3242,2844,0.000328623
photo,0,3242,2844,0.000164312
album,0,3242,2844,0.000164312
thorn,0,3242,2844,0.000164312
workstation,0,3242,2844,0.000164312
di,0,3242,2844,0.000164312
month,6,3242,2844,0.001150181
long,0,3242,2844,0.000164312
hello,0,3242,2844,0.000164312
really,5,3242,2844,0.000985869
throw,1,3242,2844,0.000328623
trash,0,3242,2844,0.000164312
upload,1,3242,2844,0.000328623
issue,5,3242,2844,0.000985869
submit,0,3242,2844,0.000164312
idea,3,3242,2844,0.000657246
beta,2,3242,2844,0.000492935
crazy,0,3242,2844,0.000164312
crop,0,3242,2844,0.000164312
prop,0,3242,2844,0.000164312
employee,4,3242,2844,0.000821558
charge,0,3242,2844,0.000164312
back,8,3242,2844,0.001478804
plate,0,3242,2844,0.000164312
mouse,3,3242,2844,0.000657246
voice,1,3242,2844,0.000328623
recognition,0,3242,2844,0.000164312
step,6,3242,2844,0.001150181
previou,0,3242,2844,0.000164312
attempt,0,3242,2844,0.000164312
bravo,0,3242,2844,0.000164312
sprint,1,3242,2844,0.000328623
expect,1,3242,2844,0.000328623
touch,4,3242,2844,0.000821558
coolness,0,3242,2844,0.000164312
apparently,0,3242,2844,0.000164312
storage,0,3242,2844,0.000164312
tell,3,3242,2844,0.000657246
full,2,3242,2844,0.000492935
expensive,0,3242,2844,0.000164312
went,1,3242,2844,0.000328623
loyalty,0,3242,2844,0.000164312
kill,3,3242,2844,0.000657246
tune,0,3242,2844,0.000164312
lonely,0,3242,2844,0.000164312
silly,0,3242,2844,0.000164312
hurry,0,3242,2844,0.000164312
release,6,3242,2844,0.001150181
exchange,7,3242,2844,0.001314492
cord,0,3242,2844,0.000164312
airdrop,0,3242,2844,0.000164312
fail,10,3242,2844,0.001807427
immediate,1,3242,2844,0.000328623
declin,0,3242,2844,0.000164312
request,0,3242,2844,0.000164312
every,1,3242,2844,0.000328623
article,0,3242,2844,0.000164312
fuck,0,3242,2844,0.000164312
lion,0,3242,2844,0.000164312
future,6,3242,2844,0.001150181
complain,0,3242,2844,0.000164312
Yellow,0,3242,2844,0.000164312
tint,0,3242,2844,0.000164312
contact,0,3242,2844,0.000164312
picture,1,3242,2844,0.000328623
list,1,3242,2844,0.000328623
simple,1,3242,2844,0.000328623
major,0,3242,2844,0.000164312
ask,0,3242,2844,0.000164312
dream,0,3242,2844,0.000164312
electric,0,3242,2844,0.000164312
sleep,0,3242,2844,0.000164312
answer,0,3242,2844,0.000164312
opportunity,0,3242,2844,0.000164312
surprise,0,3242,2844,0.000164312
error,2,3242,2844,0.000492935
alert,0,3242,2844,0.000164312
authorize,0,3242,2844,0.000164312
button,1,3242,2844,0.000328623
evil,1,3242,2844,0.000328623
lord,0,3242,2844,0.000164312
blaze,0,3242,2844,0.000164312
inferno,0,3242,2844,0.000164312
obviously,0,3242,2844,0.000164312
noth,1,3242,2844,0.000328623
perfect,1,3242,2844,0.000328623
opposite,0,3242,2844,0.000164312
please,10,3242,2844,0.001807427
delete,1,3242,2844,0.000328623
dick,0,3242,2844,0.000164312
sign,5,3242,2844,0.000985869
seriously,3,3242,2844,0.000657246
of,0,3242,2844,0.000164312
clue,0,3242,2844,0.000164312
mean,1,3242,2844,0.000328623
authorization,0,3242,2844,0.000164312
harder,0,3242,2844,0.000164312
purchas,0,3242,2844,0.000164312
shit,1,3242,2844,0.000328623
data,7,3242,2844,0.001314492
media,3,3242,2844,0.000657246
take,3,3242,2844,0.000657246
rebuild,0,3242,2844,0.000164312
vega,0,3242,2844,0.000164312
give,8,3242,2844,0.001478804
hour,2,3242,2844,0.000492935
wonky,0,3242,2844,0.000164312
dear,1,3242,2844,0.000328623
destroy,1,3242,2844,0.000328623
productivity,3,3242,2844,0.000657246
lack,0,3242,2844,0.000164312
frustrate,0,3242,2844,0.000164312
ruin,1,3242,2844,0.000328623
turn,15,3242,2844,0.002628985
utterly,0,3242,2844,0.000164312
pile,1,3242,2844,0.000328623
sure,3,3242,2844,0.000657246
duff,0,3242,2844,0.000164312
almost,2,3242,2844,0.000492935
week,8,3242,2844,0.001478804
paid,1,3242,2844,0.000328623
match,1,3242,2844,0.000328623
remov,0,3242,2844,0.000164312
hard,3,3242,2844,0.000657246
suck,3,3242,2844,0.000657246
interest,5,3242,2844,0.000985869
note,0,3242,2844,0.000164312
removable,0,3242,2844,0.000164312
launch,8,3242,2844,0.001478804
can,0,3242,2844,0.000164312
jackass,0,3242,2844,0.000164312
shoot,0,3242,2844,0.000164312
shuffle,0,3242,2844,0.000164312
sound,3,3242,2844,0.000657246
quality,2,3242,2844,0.000492935
painfully,0,3242,2844,0.000164312
crap,0,3242,2844,0.000164312
downgrade,0,3242,2844,0.000164312
wise,1,3242,2844,0.000328623
slow,1,3242,2844,0.000328623
stuck,0,3242,2844,0.000164312
half,2,3242,2844,0.000492935
thankfully,0,3242,2844,0.000164312
damage,0,3242,2844,0.000164312
thorough,0,3242,2844,0.000164312
cost,2,3242,2844,0.000492935
mightily,0,3242,2844,0.000164312
include,1,3242,2844,0.000328623
song,0,3242,2844,0.000164312
compilation,0,3242,2844,0.000164312
artist,0,3242,2844,0.000164312
name,2,3242,2844,0.000492935
exclaim,0,3242,2844,0.000164312
whole,1,3242,2844,0.000328623
total,1,3242,2844,0.000328623
chao,0,3242,2844,0.000164312
street,0,3242,2844,0.000164312
ethiopian,0,3242,2844,0.000164312
feed,0,3242,2844,0.000164312
station,0,3242,2844,0.000164312
believe,0,3242,2844,0.000164312
cool,4,3242,2844,0.000821558
purchase,3,3242,2844,0.000657246
survey,0,3242,2844,0.000164312
correction,0,3242,2844,0.000164312
kudo,0,3242,2844,0.000164312
alamo,0,3242,2844,0.000164312
ranch,0,3242,2844,0.000164312
resolve,1,3242,2844,0.000328623
hero,0,3242,2844,0.000164312
stand,3,3242,2844,0.000657246
line,0,3242,2844,0.000164312
newest,1,3242,2844,0.000328623
sucker,0,3242,2844,0.000164312
braille,0,3242,2844,0.000164312
bump,0,3242,2844,0.000164312
crush,0,3242,2844,0.000164312
already,3,3242,2844,0.000657246
schedule,0,3242,2844,0.000164312
summer,0,3242,2844,0.000164312
thursday,0,3242,2844,0.000164312
available,17,3242,2844,0.002957608
appointment,0,3242,2844,0.000164312
allow,6,3242,2844,0.001150181
push,0,3242,2844,0.000164312
Yap,0,3242,2844,0.000164312
message,0,3242,2844,0.000164312
icon,0,3242,2844,0.000164312
includ,1,3242,2844,0.000328623
require,0,3242,2844,0.000164312
reservation,0,3242,2844,0.000164312
crappy,0,3242,2844,0.000164312
keyboard,2,3242,2844,0.000492935
around,7,3242,2844,0.001314492
progress,0,3242,2844,0.000164312
function,4,3242,2844,0.000821558
page,3,3242,2844,0.000657246
awful,0,3242,2844,0.000164312
interrupt,0,3242,2844,0.000164312
piece,0,3242,2844,0.000164312
dollar,0,3242,2844,0.000164312
charg,0,3242,2844,0.000164312
slowly,0,3242,2844,0.000164312
solve,0,3242,2844,0.000164312
pick,1,3242,2844,0.000328623
set,0,3242,2844,0.000164312
calendar,0,3242,2844,0.000164312
item,3,3242,2844,0.000657246
program,2,3242,2844,0.000492935
software,4,3242,2844,0.000821558
repair,0,3242,2844,0.000164312
proper,0,3242,2844,0.000164312
consolidation,0,3242,2844,0.000164312
stop,2,3242,2844,0.000492935
lose,5,3242,2844,0.000985869
bought,4,3242,2844,0.000821558
ship,0,3242,2844,0.000164312
enable,1,3242,2844,0.000328623
plan,8,3242,2844,0.001478804
handle,0,3242,2844,0.000164312
prevent,0,3242,2844,0.000164312
audio,0,3242,2844,0.000164312
operate,2,3242,2844,0.000492935
properly,0,3242,2844,0.000164312
hater,0,3242,2844,0.000164312
buttery,0,3242,2844,0.000164312
finish,1,3242,2844,0.000328623
fast,4,3242,2844,0.000821558
signal,0,3242,2844,0.000164312
rapidly,0,3242,2844,0.000164312
canon,0,3242,2844,0.000164312
compact,0,3242,2844,0.000164312
flash,0,3242,2844,0.000164312
goe,0,3242,2844,0.000164312
damn,0,3242,2844,0.000164312
term,1,3242,2844,0.000328623
condition,0,3242,2844,0.000164312
read,4,3242,2844,0.000821558
late,1,3242,2844,0.000328623
screw,0,3242,2844,0.000164312
alarm,0,3242,2844,0.000164312
dose,0,3242,2844,0.000164312
decide,0,3242,2844,0.000164312
freeze,2,3242,2844,0.000492935
wont,0,3242,2844,0.000164312
annoy,1,3242,2844,0.000328623
officially,1,3242,2844,0.000328623
boycot,0,3242,2844,0.000164312
curse,0,3242,2844,0.000164312
wast,1,3242,2844,0.000328623
seek,2,3242,2844,0.000492935
japan,0,3242,2844,0.000164312
australia,0,3242,2844,0.000164312
patent,6,3242,2844,0.001150181
intensifi,0,3242,2844,0.000164312
injunction,0,3242,2844,0.000164312
sought,0,3242,2844,0.000164312
dead,1,3242,2844,0.000328623
restore,0,3242,2844,0.000164312
pain,1,3242,2844,0.000328623
room,0,3242,2844,0.000164312
undo,0,3242,2844,0.000164312
garbage,0,3242,2844,0.000164312
avail,0,3242,2844,0.000164312
site,1,3242,2844,0.000328623
browser,1,3242,2844,0.000328623
trouble,0,3242,2844,0.000164312
brightness,0,3242,2844,0.000164312
remember,0,3242,2844,0.000164312
enter,0,3242,2844,0.000164312
market,5,3242,2844,0.000985869
piss,0,3242,2844,0.000164312
certain,0,3242,2844,0.000164312
worse,3,3242,2844,0.000657246
newton,0,3242,2844,0.000164312
hockey,0,3242,2844,0.000164312
puck,0,3242,2844,0.000164312
painful,0,3242,2844,0.000164312
invention,1,3242,2844,0.000328623
account,3,3242,2844,0.000657246
suddenly,0,3242,2844,0.000164312
address,1,3242,2844,0.000328623
someone,0,3242,2844,0.000164312
window,67,3242,2844,0.011173184
compatible,0,3242,2844,0.000164312
care,0,3242,2844,0.000164312
restor,0,3242,2844,0.000164312
restriction,0,3242,2844,0.000164312
none,0,3242,2844,0.000164312
seemingly,0,3242,2844,0.000164312
endless,0,3242,2844,0.000164312
loop,0,3242,2844,0.000164312
investigate,0,3242,2844,0.000164312
terrible,0,3242,2844,0.000164312
apology,0,3242,2844,0.000164312
busy,0,3242,2844,0.000164312
stylu,0,3242,2844,0.000164312
forever,0,3242,2844,0.000164312
outside,0,3242,2844,0.000164312
daughter,0,3242,2844,0.000164312
drive,2,3242,2844,0.000492935
nut,0,3242,2844,0.000164312
blame,3,3242,2844,0.000657246
honest,1,3242,2844,0.000328623
complete,1,3242,2844,0.000328623
poor,1,3242,2844,0.000328623
slip,0,3242,2844,0.000164312
except,0,3242,2844,0.000164312
cute,0,3242,2844,0.000164312
eyelash,0,3242,2844,0.000164312
bat,0,3242,2844,0.000164312
shag,0,3242,2844,0.000164312
snatch,0,3242,2844,0.000164312
dependent,0,3242,2844,0.000164312
network,0,3242,2844,0.000164312
connection,0,3242,2844,0.000164312
utter,0,3242,2844,0.000164312
frustration,0,3242,2844,0.000164312
amus,0,3242,2844,0.000164312
seem,3,3242,2844,0.000657246
render,0,3242,2844,0.000164312
machine,1,3242,2844,0.000328623
incapable,0,3242,2844,0.000164312
zero,0,3242,2844,0.000164312
useful,0,3242,2844,0.000164312
commit,0,3242,2844,0.000164312
rain,1,3242,2844,0.000328623
soon,1,3242,2844,0.000328623
share,4,3242,2844,0.000821558
reminder,0,3242,2844,0.000164312
also,1,3242,2844,0.000328623
webpage,0,3242,2844,0.000164312
modify,0,3242,2844,0.000164312
crashe,0,3242,2844,0.000164312
congratulation,1,3242,2844,0.000328623
incompatible,0,3242,2844,0.000164312
vertical,0,3242,2844,0.000164312
mission,0,3242,2844,0.000164312
control,1,3242,2844,0.000328623
horizontal,0,3242,2844,0.000164312
business,11,3242,2844,0.001971738
nauseou,0,3242,2844,0.000164312
explain,5,3242,2844,0.000985869
distribut,0,3242,2844,0.000164312
succee,1,3242,2844,0.000328623
early,0,3242,2844,0.000164312
file,5,3242,2844,0.000985869
disappear,0,3242,2844,0.000164312
hurt,0,3242,2844,0.000164312
li,0,3242,2844,0.000164312
definitely,2,3242,2844,0.000492935
check,5,3242,2844,0.000985869
usage,0,3242,2844,0.000164312
huge,2,3242,2844,0.000492935
podcast,3,3242,2844,0.000657246
drop,7,3242,2844,0.001314492
ball,0,3242,2844,0.000164312
perhap,0,3242,2844,0.000164312
star,0,3242,2844,0.000164312
war,0,3242,2844,0.000164312
brain,0,3242,2844,0.000164312
password,0,3242,2844,0.000164312
protect,0,3242,2844,0.000164312
quickly,1,3242,2844,0.000328623
see,0,3242,2844,0.000164312
bar,1,3242,2844,0.000328623
return,0,3242,2844,0.000164312
anyway,0,3242,2844,0.000164312
start,13,3242,2844,0.002300361
knew,0,3242,2844,0.000164312
pink,0,3242,2844,0.000164312
hold,0,3242,2844,0.000164312
hindi,1,3242,2844,0.000328623
cheer,0,3242,2844,0.000164312
indian,1,3242,2844,0.000328623
language,1,3242,2844,0.000328623
warn,1,3242,2844,0.000328623
spontaneously,0,3242,2844,0.000164312
loose,0,3242,2844,0.000164312
might,2,3242,2844,0.000492935
fault,0,3242,2844,0.000164312
hopefully,0,3242,2844,0.000164312
figure,0,3242,2844,0.000164312
copy,1,3242,2844,0.000328623
hell,0,3242,2844,0.000164312
unhappy,0,3242,2844,0.000164312
change,3,3242,2844,0.000657246
input,2,3242,2844,0.000492935
number,1,3242,2844,0.000328623
handl,0,3242,2844,0.000164312
blue,4,3242,2844,0.000821558
minute,1,3242,2844,0.000328623
dupe,0,3242,2844,0.000164312
disappointment,0,3242,2844,0.000164312
inventor,0,3242,2844,0.000164312
excit,2,3242,2844,0.000492935
tragic,0,3242,2844,0.000164312
impression,0,3242,2844,0.000164312
dissent,0,3242,2844,0.000164312
multiple,5,3242,2844,0.000985869
connect,0,3242,2844,0.000164312
server,7,3242,2844,0.001314492
exercise,0,3242,2844,0.000164312
rename,0,3242,2844,0.000164312
bottleneck,0,3242,2844,0.000164312
chance,2,3242,2844,0.000492935
headphone,0,3242,2844,0.000164312
blast,0,3242,2844,0.000164312
ear,0,3242,2844,0.000164312
quite,1,3242,2844,0.000328623
obnoxiou,0,3242,2844,0.000164312
cloudy,0,3242,2844,0.000164312
techy,0,3242,2844,0.000164312
process,3,3242,2844,0.000657246
command,1,3242,2844,0.000328623
design,2,3242,2844,0.000492935
appropriately,0,3242,2844,0.000164312
project,9,3242,2844,0.001643115
resource,0,3242,2844,0.000164312
reliable,0,3242,2844,0.000164312
spoke,0,3242,2844,0.000164312
blare,0,3242,2844,0.000164312
direct,1,3242,2844,0.000328623
wrong,0,3242,2844,0.000164312
suspect,0,3242,2844,0.000164312
perfectly,0,3242,2844,0.000164312
ail,0,3242,2844,0.000164312
stink,0,3242,2844,0.000164312
inform,0,3242,2844,0.000164312
migrate,6,3242,2844,0.001150181
many,4,3242,2844,0.000821558
complaint,0,3242,2844,0.000164312
image,4,3242,2844,0.000821558
rape,0,3242,2844,0.000164312
small,1,3242,2844,0.000328623
realise,0,3242,2844,0.000164312
base,0,3242,2844,0.000164312
petty,0,3242,2844,0.000164312
original,0,3242,2844,0.000164312
location,0,3242,2844,0.000164312
domain,0,3242,2844,0.000164312
empty,0,3242,2844,0.000164312
skin,0,3242,2844,0.000164312
represent,0,3242,2844,0.000164312
tear,0,3242,2844,0.000164312
