Words,Features,# of words in google,# of unique words in all documents,Condition prob of given word in google
lunch,0,4240,2844,0.000141163
break,2,4240,2844,0.00042349
today,7,4240,2844,0.001129305
warranty,0,4240,2844,0.000141163
replace,2,4240,2844,0.00042349
bound,0,4240,2844,0.000141163
playbook,0,4240,2844,0.000141163
team,2,4240,2844,0.00042349
amaz,5,4240,2844,0.000846979
featur,0,4240,2844,0.000141163
education,0,4240,2844,0.000141163
sweet,1,4240,2844,0.000282326
want,18,4240,2844,0.002682101
done,5,4240,2844,0.000846979
right,4,4240,2844,0.000705816
useless,0,4240,2844,0.000141163
day,3,4240,2844,0.000564653
unexpect,0,4240,2844,0.000141163
workshop,0,4240,2844,0.000141163
Yesterday,0,4240,2844,0.000141163
awesome,9,4240,2844,0.001411632
amount,0,4240,2844,0.000141163
info,7,4240,2844,0.001129305
question,3,4240,2844,0.000564653
people,8,4240,2844,0.001270469
bitch,2,4240,2844,0.00042349
smartest,0,4240,2844,0.000141163
phone,48,4240,2844,0.006916996
ever,3,4240,2844,0.000564653
happy,0,4240,2844,0.000141163
point,1,4240,2844,0.000282326
mentor,0,4240,2844,0.000141163
triple,0,4240,2844,0.000141163
umber,0,4240,2844,0.000141163
well,3,4240,2844,0.000564653
mobile,11,4240,2844,0.001693958
device,12,4240,2844,0.001835121
talk,4,4240,2844,0.000705816
desktop,0,4240,2844,0.000141163
coach,0,4240,2844,0.000141163
bring,1,4240,2844,0.000282326
wish,0,4240,2844,0.000141163
sell,0,4240,2844,0.000141163
million,2,4240,2844,0.00042349
unit,0,4240,2844,0.000141163
weekend,0,4240,2844,0.000141163
job,1,4240,2844,0.000282326
brilliance,0,4240,2844,0.000141163
live,15,4240,2844,0.002258611
apologize,0,4240,2844,0.000141163
download,2,4240,2844,0.00042349
prove,0,4240,2844,0.000141163
popular,0,4240,2844,0.000141163
look,41,4240,2844,0.005928854
argument,1,4240,2844,0.000282326
incredible,0,4240,2844,0.000141163
better,7,4240,2844,0.001129305
save,1,4240,2844,0.000282326
unwant,0,4240,2844,0.000141163
seen,5,4240,2844,0.000846979
light,0,4240,2844,0.000141163
fix,0,4240,2844,0.000141163
battery,1,4240,2844,0.000282326
drain,0,4240,2844,0.000141163
problem,2,4240,2844,0.00042349
replacement,0,4240,2844,0.000141163
work,20,4240,2844,0.002964427
like,24,4240,2844,0.00352908
champ,0,4240,2844,0.000141163
currently,0,4240,2844,0.000141163
order,1,4240,2844,0.000282326
brand,2,4240,2844,0.00042349
Year,2,4240,2844,0.00042349
miss,2,4240,2844,0.00042349
time,17,4240,2844,0.002540937
bless,0,4240,2844,0.000141163
know,12,4240,2844,0.001835121
brother,0,4240,2844,0.000141163
girlfriend,0,4240,2844,0.000141163
least,1,4240,2844,0.000282326
wait,10,4240,2844,0.001552795
music,8,4240,2844,0.001270469
glass,0,4240,2844,0.000141163
debut,2,4240,2844,0.00042349
technology,4,4240,2844,0.000705816
unreal,0,4240,2844,0.000141163
update,21,4240,2844,0.00310559
another,1,4240,2844,0.000282326
mention,2,4240,2844,0.00042349
get,7,4240,2844,0.001129305
forward,2,4240,2844,0.00042349
stick,1,4240,2844,0.000282326
longer,0,4240,2844,0.000141163
pay,2,4240,2844,0.00042349
text,2,4240,2844,0.00042349
hate,3,4240,2844,0.000564653
computer,0,4240,2844,0.000141163
need,12,4240,2844,0.001835121
mack,0,4240,2844,0.000141163
flawless,0,4240,2844,0.000141163
cloud,6,4240,2844,0.000988142
totally,2,4240,2844,0.00042349
email,3,4240,2844,0.000564653
company,3,4240,2844,0.000564653
alway,3,4240,2844,0.000564653
upgrade,4,4240,2844,0.000705816
nice,13,4240,2844,0.001976285
tech,7,4240,2844,0.001129305
mall,0,4240,2844,0.000141163
faster,2,4240,2844,0.00042349
even,5,4240,2844,0.000846979
though,2,4240,2844,0.00042349
hubby,0,4240,2844,0.000141163
geek,0,4240,2844,0.000141163
make,17,4240,2844,0.002540937
thankful,0,4240,2844,0.000141163
go,3,4240,2844,0.000564653
beyond,3,4240,2844,0.000564653
sick,2,4240,2844,0.00042349
play,3,4240,2844,0.000564653
camera,10,4240,2844,0.001552795
Yeah,1,4240,2844,0.000282326
chang,1,4240,2844,0.000282326
life,2,4240,2844,0.00042349
safari,0,4240,2844,0.000141163
reader,0,4240,2844,0.000141163
own,0,4240,2844,0.000141163
worldwide,0,4240,2844,0.000141163
case,0,4240,2844,0.000141163
hand,6,4240,2844,0.000988142
walk,0,4240,2844,0.000141163
laid,0,4240,2844,0.000141163
next,8,4240,2844,0.001270469
last,1,4240,2844,0.000282326
us,10,4240,2844,0.001552795
disruption,0,4240,2844,0.000141163
lost,0,4240,2844,0.000141163
gig,0,4240,2844,0.000141163
keep,2,4240,2844,0.00042349
Yessss,0,4240,2844,0.000141163
especially,1,4240,2844,0.000282326
slide,0,4240,2844,0.000141163
screen,8,4240,2844,0.001270469
good,15,4240,2844,0.002258611
second,0,4240,2844,0.000141163
madness,0,4240,2844,0.000141163
invest,1,4240,2844,0.000282326
gear,0,4240,2844,0.000141163
sent,0,4240,2844,0.000141163
grandma,0,4240,2844,0.000141163
post,10,4240,2844,0.001552795
card,2,4240,2844,0.00042349
sorry,3,4240,2844,0.000564653
put,3,4240,2844,0.000564653
wash,0,4240,2844,0.000141163
kind,0,4240,2844,0.000141163
equivalent,0,4240,2844,0.000141163
blend,0,4240,2844,0.000141163
hear,0,4240,2844,0.000141163
still,4,4240,2844,0.000705816
alive,1,4240,2844,0.000282326
launder,0,4240,2844,0.000141163
finest,0,4240,2844,0.000141163
moment,1,4240,2844,0.000282326
dry,0,4240,2844,0.000141163
organic,0,4240,2844,0.000141163
rice,0,4240,2844,0.000141163
boot,0,4240,2844,0.000141163
system,4,4240,2844,0.000705816
smash,0,4240,2844,0.000141163
lock,1,4240,2844,0.000282326
open,0,4240,2844,0.000141163
unlock,12,4240,2844,0.001835121
word,1,4240,2844,0.000282326
sale,1,4240,2844,0.000282326
four,2,4240,2844,0.00042349
easter,0,4240,2844,0.000141163
egg,0,4240,2844,0.000141163
pull,0,4240,2844,0.000141163
middle,0,4240,2844,0.000141163
bottom,0,4240,2844,0.000141163
feature,26,4240,2844,0.003811406
simply,1,4240,2844,0.000282326
must,2,4240,2844,0.00042349
admit,1,4240,2844,0.000282326
camper,0,4240,2844,0.000141163
tone,0,4240,2844,0.000141163
ring,0,4240,2844,0.000141163
drake,0,4240,2844,0.000141163
receiv,0,4240,2844,0.000141163
ipod,0,4240,2844,0.000141163
wife,1,4240,2844,0.000282326
upgrad,0,4240,2844,0.000141163
alone,0,4240,2844,0.000141163
worth,2,4240,2844,0.00042349
continu,0,4240,2844,0.000141163
enhance,0,4240,2844,0.000141163
honor,0,4240,2844,0.000141163
truly,0,4240,2844,0.000141163
loss,1,4240,2844,0.000282326
geniu,0,4240,2844,0.000141163
notifi,1,4240,2844,0.000282326
arriv,1,4240,2844,0.000282326
local,1,4240,2844,0.000282326
office,0,4240,2844,0.000141163
deliver,0,4240,2844,0.000141163
sunday,0,4240,2844,0.000141163
magic,0,4240,2844,0.000141163
meet,1,4240,2844,0.000282326
butler,0,4240,2844,0.000141163
click,4,4240,2844,0.000705816
link,4,4240,2844,0.000705816
never,1,4240,2844,0.000282326
feel,3,4240,2844,0.000564653
worst,0,4240,2844,0.000141163
speaker,1,4240,2844,0.000282326
spoil,0,4240,2844,0.000141163
luck,0,4240,2844,0.000141163
surviv,0,4240,2844,0.000141163
addict,0,4240,2844,0.000141163
welcome,1,4240,2844,0.000282326
club,0,4240,2844,0.000141163
innovation,0,4240,2844,0.000141163
exhibit,0,4240,2844,0.000141163
instead,0,4240,2844,0.000141163
watch,6,4240,2844,0.000988142
game,9,4240,2844,0.001411632
sport,0,4240,2844,0.000141163
hiss,0,4240,2844,0.000141163
berry,0,4240,2844,0.000141163
power,9,4240,2844,0.001411632
guy,4,4240,2844,0.000705816
witchcraft,0,4240,2844,0.000141163
lead,0,4240,2844,0.000141163
notification,1,4240,2844,0.000282326
search,29,4240,2844,0.004234896
cover,2,4240,2844,0.00042349
mail,0,4240,2844,0.000141163
wifi,0,4240,2844,0.000141163
sync,2,4240,2844,0.00042349
backup,0,4240,2844,0.000141163
integrate,2,4240,2844,0.00042349
jame,0,4240,2844,0.000141163
stewart,0,4240,2844,0.000141163
story,0,4240,2844,0.000141163
importance,0,4240,2844,0.000141163
architecture,0,4240,2844,0.000141163
retail,1,4240,2844,0.000282326
success,0,4240,2844,0.000141163
world,0,4240,2844,0.000141163
impressive,0,4240,2844,0.000141163
metro,3,4240,2844,0.000564653
centre,0,4240,2844,0.000141163
cable,0,4240,2844,0.000141163
book,3,4240,2844,0.000564653
grati,0,4240,2844,0.000141163
show,6,4240,2844,0.000988142
hairline,0,4240,2844,0.000141163
happen,1,4240,2844,0.000282326
edge,0,4240,2844,0.000141163
taken,1,4240,2844,0.000282326
min,0,4240,2844,0.000141163
write,0,4240,2844,0.000141163
convert,0,4240,2844,0.000141163
grass,0,4240,2844,0.000141163
greener,0,4240,2844,0.000141163
backside,0,4240,2844,0.000141163
impress,3,4240,2844,0.000564653
space,1,4240,2844,0.000282326
creative,0,4240,2844,0.000141163
product,2,4240,2844,0.00042349
inspire,0,4240,2844,0.000141163
unbelievable,0,4240,2844,0.000141163
present,0,4240,2844,0.000141163
requir,1,4240,2844,0.000282326
finally,7,4240,2844,0.001129305
stupid,1,4240,2844,0.000282326
learn,3,4240,2844,0.000564653
lesson,0,4240,2844,0.000141163
absolutely,0,4240,2844,0.000141163
invent,1,4240,2844,0.000282326
parent,0,4240,2844,0.000141163
listen,0,4240,2844,0.000141163
create,2,4240,2844,0.00042349
folder,2,4240,2844,0.00042349
within,0,4240,2844,0.000141163
photo,3,4240,2844,0.000564653
album,0,4240,2844,0.000141163
thorn,0,4240,2844,0.000141163
workstation,0,4240,2844,0.000141163
di,0,4240,2844,0.000141163
month,1,4240,2844,0.000282326
long,0,4240,2844,0.000141163
hello,0,4240,2844,0.000141163
really,14,4240,2844,0.002117448
throw,1,4240,2844,0.000282326
trash,1,4240,2844,0.000282326
upload,0,4240,2844,0.000141163
issue,0,4240,2844,0.000141163
submit,0,4240,2844,0.000141163
idea,1,4240,2844,0.000282326
beta,0,4240,2844,0.000141163
crazy,0,4240,2844,0.000141163
crop,0,4240,2844,0.000141163
prop,0,4240,2844,0.000141163
employee,0,4240,2844,0.000141163
charge,0,4240,2844,0.000141163
back,2,4240,2844,0.00042349
plate,0,4240,2844,0.000141163
mouse,0,4240,2844,0.000141163
voice,2,4240,2844,0.00042349
recognition,9,4240,2844,0.001411632
step,3,4240,2844,0.000564653
previou,0,4240,2844,0.000141163
attempt,0,4240,2844,0.000141163
bravo,0,4240,2844,0.000141163
sprint,2,4240,2844,0.00042349
expect,4,4240,2844,0.000705816
touch,1,4240,2844,0.000282326
coolness,0,4240,2844,0.000141163
apparently,1,4240,2844,0.000282326
storage,1,4240,2844,0.000282326
tell,2,4240,2844,0.00042349
full,2,4240,2844,0.00042349
expensive,0,4240,2844,0.000141163
went,1,4240,2844,0.000282326
loyalty,0,4240,2844,0.000141163
kill,0,4240,2844,0.000141163
tune,0,4240,2844,0.000141163
lonely,0,4240,2844,0.000141163
silly,0,4240,2844,0.000141163
hurry,0,4240,2844,0.000141163
release,16,4240,2844,0.002399774
exchange,0,4240,2844,0.000141163
cord,0,4240,2844,0.000141163
airdrop,0,4240,2844,0.000141163
fail,7,4240,2844,0.001129305
immediate,0,4240,2844,0.000141163
declin,1,4240,2844,0.000282326
request,0,4240,2844,0.000141163
every,2,4240,2844,0.00042349
article,3,4240,2844,0.000564653
fuck,3,4240,2844,0.000564653
lion,0,4240,2844,0.000141163
future,2,4240,2844,0.00042349
complain,0,4240,2844,0.000141163
Yellow,1,4240,2844,0.000282326
tint,0,4240,2844,0.000141163
contact,9,4240,2844,0.001411632
picture,12,4240,2844,0.001835121
list,1,4240,2844,0.000282326
simple,2,4240,2844,0.00042349
major,2,4240,2844,0.00042349
ask,0,4240,2844,0.000141163
dream,0,4240,2844,0.000141163
electric,0,4240,2844,0.000141163
sleep,0,4240,2844,0.000141163
answer,1,4240,2844,0.000282326
opportunity,0,4240,2844,0.000141163
surprise,0,4240,2844,0.000141163
error,0,4240,2844,0.000141163
alert,1,4240,2844,0.000282326
authorize,0,4240,2844,0.000141163
button,2,4240,2844,0.00042349
evil,0,4240,2844,0.000141163
lord,0,4240,2844,0.000141163
blaze,0,4240,2844,0.000141163
inferno,0,4240,2844,0.000141163
obviously,1,4240,2844,0.000282326
noth,1,4240,2844,0.000282326
perfect,1,4240,2844,0.000282326
opposite,0,4240,2844,0.000141163
please,6,4240,2844,0.000988142
delete,0,4240,2844,0.000141163
dick,0,4240,2844,0.000141163
sign,4,4240,2844,0.000705816
seriously,2,4240,2844,0.00042349
of,0,4240,2844,0.000141163
clue,0,4240,2844,0.000141163
mean,0,4240,2844,0.000141163
authorization,0,4240,2844,0.000141163
harder,0,4240,2844,0.000141163
purchas,0,4240,2844,0.000141163
shit,1,4240,2844,0.000282326
data,9,4240,2844,0.001411632
media,3,4240,2844,0.000564653
take,9,4240,2844,0.001411632
rebuild,0,4240,2844,0.000141163
vega,1,4240,2844,0.000282326
give,3,4240,2844,0.000564653
hour,1,4240,2844,0.000282326
wonky,0,4240,2844,0.000141163
dear,3,4240,2844,0.000564653
destroy,0,4240,2844,0.000141163
productivity,0,4240,2844,0.000141163
lack,1,4240,2844,0.000282326
frustrate,0,4240,2844,0.000141163
ruin,0,4240,2844,0.000141163
turn,1,4240,2844,0.000282326
utterly,0,4240,2844,0.000141163
pile,0,4240,2844,0.000141163
sure,4,4240,2844,0.000705816
duff,0,4240,2844,0.000141163
almost,2,4240,2844,0.00042349
week,1,4240,2844,0.000282326
paid,0,4240,2844,0.000141163
match,0,4240,2844,0.000141163
remov,0,4240,2844,0.000141163
hard,1,4240,2844,0.000282326
suck,0,4240,2844,0.000141163
interest,2,4240,2844,0.00042349
note,4,4240,2844,0.000705816
removable,0,4240,2844,0.000141163
launch,6,4240,2844,0.000988142
can,0,4240,2844,0.000141163
jackass,0,4240,2844,0.000141163
shoot,0,4240,2844,0.000141163
shuffle,0,4240,2844,0.000141163
sound,1,4240,2844,0.000282326
quality,0,4240,2844,0.000141163
painfully,0,4240,2844,0.000141163
crap,0,4240,2844,0.000141163
downgrade,0,4240,2844,0.000141163
wise,0,4240,2844,0.000141163
slow,0,4240,2844,0.000141163
stuck,0,4240,2844,0.000141163
half,1,4240,2844,0.000282326
thankfully,0,4240,2844,0.000141163
damage,0,4240,2844,0.000141163
thorough,0,4240,2844,0.000141163
cost,1,4240,2844,0.000282326
mightily,0,4240,2844,0.000141163
include,1,4240,2844,0.000282326
song,0,4240,2844,0.000141163
compilation,0,4240,2844,0.000141163
artist,0,4240,2844,0.000141163
name,3,4240,2844,0.000564653
exclaim,0,4240,2844,0.000141163
whole,1,4240,2844,0.000282326
total,3,4240,2844,0.000564653
chao,0,4240,2844,0.000141163
street,0,4240,2844,0.000141163
ethiopian,0,4240,2844,0.000141163
feed,0,4240,2844,0.000141163
station,0,4240,2844,0.000141163
believe,0,4240,2844,0.000141163
cool,3,4240,2844,0.000564653
purchase,1,4240,2844,0.000282326
survey,0,4240,2844,0.000141163
correction,0,4240,2844,0.000141163
kudo,0,4240,2844,0.000141163
alamo,0,4240,2844,0.000141163
ranch,0,4240,2844,0.000141163
resolve,0,4240,2844,0.000141163
hero,0,4240,2844,0.000141163
stand,0,4240,2844,0.000141163
line,3,4240,2844,0.000564653
newest,0,4240,2844,0.000141163
sucker,0,4240,2844,0.000141163
braille,0,4240,2844,0.000141163
bump,1,4240,2844,0.000282326
crush,0,4240,2844,0.000141163
already,0,4240,2844,0.000141163
schedule,0,4240,2844,0.000141163
summer,0,4240,2844,0.000141163
thursday,0,4240,2844,0.000141163
available,16,4240,2844,0.002399774
appointment,0,4240,2844,0.000141163
allow,1,4240,2844,0.000282326
push,1,4240,2844,0.000282326
Yap,0,4240,2844,0.000141163
message,1,4240,2844,0.000282326
icon,0,4240,2844,0.000141163
includ,5,4240,2844,0.000846979
require,0,4240,2844,0.000141163
reservation,0,4240,2844,0.000141163
crappy,0,4240,2844,0.000141163
keyboard,2,4240,2844,0.00042349
around,0,4240,2844,0.000141163
progress,0,4240,2844,0.000141163
function,0,4240,2844,0.000141163
page,12,4240,2844,0.001835121
awful,0,4240,2844,0.000141163
interrupt,0,4240,2844,0.000141163
piece,1,4240,2844,0.000282326
dollar,1,4240,2844,0.000282326
charg,0,4240,2844,0.000141163
slowly,0,4240,2844,0.000141163
solve,0,4240,2844,0.000141163
pick,0,4240,2844,0.000141163
set,1,4240,2844,0.000282326
calendar,2,4240,2844,0.00042349
item,0,4240,2844,0.000141163
program,0,4240,2844,0.000141163
software,0,4240,2844,0.000141163
repair,0,4240,2844,0.000141163
proper,0,4240,2844,0.000141163
consolidation,0,4240,2844,0.000141163
stop,6,4240,2844,0.000988142
lose,0,4240,2844,0.000141163
bought,1,4240,2844,0.000282326
ship,1,4240,2844,0.000282326
enable,0,4240,2844,0.000141163
plan,4,4240,2844,0.000705816
handle,0,4240,2844,0.000141163
prevent,0,4240,2844,0.000141163
audio,0,4240,2844,0.000141163
operate,2,4240,2844,0.00042349
properly,0,4240,2844,0.000141163
hater,0,4240,2844,0.000141163
buttery,0,4240,2844,0.000141163
finish,1,4240,2844,0.000282326
fast,5,4240,2844,0.000846979
signal,0,4240,2844,0.000141163
rapidly,0,4240,2844,0.000141163
canon,0,4240,2844,0.000141163
compact,0,4240,2844,0.000141163
flash,0,4240,2844,0.000141163
goe,3,4240,2844,0.000564653
damn,0,4240,2844,0.000141163
term,0,4240,2844,0.000141163
condition,0,4240,2844,0.000141163
read,6,4240,2844,0.000988142
late,0,4240,2844,0.000141163
screw,0,4240,2844,0.000141163
alarm,0,4240,2844,0.000141163
dose,0,4240,2844,0.000141163
decide,1,4240,2844,0.000282326
freeze,0,4240,2844,0.000141163
wont,0,4240,2844,0.000141163
annoy,0,4240,2844,0.000141163
officially,3,4240,2844,0.000564653
boycot,0,4240,2844,0.000141163
curse,0,4240,2844,0.000141163
wast,0,4240,2844,0.000141163
seek,0,4240,2844,0.000141163
japan,0,4240,2844,0.000141163
australia,0,4240,2844,0.000141163
patent,1,4240,2844,0.000282326
intensifi,0,4240,2844,0.000141163
injunction,0,4240,2844,0.000141163
sought,0,4240,2844,0.000141163
dead,0,4240,2844,0.000141163
restore,0,4240,2844,0.000141163
pain,0,4240,2844,0.000141163
room,0,4240,2844,0.000141163
undo,0,4240,2844,0.000141163
garbage,0,4240,2844,0.000141163
avail,0,4240,2844,0.000141163
site,11,4240,2844,0.001693958
browser,1,4240,2844,0.000282326
trouble,0,4240,2844,0.000141163
brightness,0,4240,2844,0.000141163
remember,2,4240,2844,0.00042349
enter,0,4240,2844,0.000141163
market,11,4240,2844,0.001693958
piss,0,4240,2844,0.000141163
certain,0,4240,2844,0.000141163
worse,0,4240,2844,0.000141163
newton,0,4240,2844,0.000141163
hockey,0,4240,2844,0.000141163
puck,0,4240,2844,0.000141163
painful,0,4240,2844,0.000141163
invention,1,4240,2844,0.000282326
account,1,4240,2844,0.000282326
suddenly,0,4240,2844,0.000141163
address,1,4240,2844,0.000282326
someone,0,4240,2844,0.000141163
window,3,4240,2844,0.000564653
compatible,0,4240,2844,0.000141163
care,3,4240,2844,0.000564653
restor,0,4240,2844,0.000141163
restriction,0,4240,2844,0.000141163
none,0,4240,2844,0.000141163
seemingly,0,4240,2844,0.000141163
endless,0,4240,2844,0.000141163
loop,0,4240,2844,0.000141163
investigate,0,4240,2844,0.000141163
terrible,2,4240,2844,0.00042349
apology,0,4240,2844,0.000141163
busy,0,4240,2844,0.000141163
stylu,0,4240,2844,0.000141163
forever,0,4240,2844,0.000141163
outside,1,4240,2844,0.000282326
daughter,0,4240,2844,0.000141163
drive,1,4240,2844,0.000282326
nut,1,4240,2844,0.000282326
blame,0,4240,2844,0.000141163
honest,0,4240,2844,0.000141163
complete,1,4240,2844,0.000282326
poor,0,4240,2844,0.000141163
slip,0,4240,2844,0.000141163
except,0,4240,2844,0.000141163
cute,0,4240,2844,0.000141163
eyelash,0,4240,2844,0.000141163
bat,0,4240,2844,0.000141163
shag,0,4240,2844,0.000141163
snatch,0,4240,2844,0.000141163
dependent,0,4240,2844,0.000141163
network,2,4240,2844,0.00042349
connection,0,4240,2844,0.000141163
utter,0,4240,2844,0.000141163
frustration,0,4240,2844,0.000141163
amus,0,4240,2844,0.000141163
seem,0,4240,2844,0.000141163
render,0,4240,2844,0.000141163
machine,0,4240,2844,0.000141163
incapable,0,4240,2844,0.000141163
zero,2,4240,2844,0.00042349
useful,1,4240,2844,0.000282326
commit,0,4240,2844,0.000141163
rain,0,4240,2844,0.000141163
soon,4,4240,2844,0.000705816
share,11,4240,2844,0.001693958
reminder,0,4240,2844,0.000141163
also,4,4240,2844,0.000705816
webpage,0,4240,2844,0.000141163
modify,1,4240,2844,0.000282326
crashe,0,4240,2844,0.000141163
congratulation,1,4240,2844,0.000282326
incompatible,0,4240,2844,0.000141163
vertical,0,4240,2844,0.000141163
mission,2,4240,2844,0.00042349
control,2,4240,2844,0.00042349
horizontal,0,4240,2844,0.000141163
business,6,4240,2844,0.000988142
nauseou,0,4240,2844,0.000141163
explain,0,4240,2844,0.000141163
distribut,0,4240,2844,0.000141163
succee,0,4240,2844,0.000141163
early,0,4240,2844,0.000141163
file,2,4240,2844,0.00042349
disappear,1,4240,2844,0.000282326
hurt,0,4240,2844,0.000141163
li,1,4240,2844,0.000282326
definitely,0,4240,2844,0.000141163
check,5,4240,2844,0.000846979
usage,7,4240,2844,0.001129305
huge,1,4240,2844,0.000282326
podcast,0,4240,2844,0.000141163
drop,0,4240,2844,0.000141163
ball,0,4240,2844,0.000141163
perhap,0,4240,2844,0.000141163
star,0,4240,2844,0.000141163
war,0,4240,2844,0.000141163
brain,0,4240,2844,0.000141163
password,0,4240,2844,0.000141163
protect,0,4240,2844,0.000141163
quickly,0,4240,2844,0.000141163
see,0,4240,2844,0.000141163
bar,0,4240,2844,0.000141163
return,0,4240,2844,0.000141163
anyway,2,4240,2844,0.00042349
start,2,4240,2844,0.00042349
knew,0,4240,2844,0.000141163
pink,1,4240,2844,0.000282326
hold,0,4240,2844,0.000141163
hindi,0,4240,2844,0.000141163
cheer,0,4240,2844,0.000141163
indian,0,4240,2844,0.000141163
language,0,4240,2844,0.000141163
warn,0,4240,2844,0.000141163
spontaneously,0,4240,2844,0.000141163
loose,0,4240,2844,0.000141163
might,2,4240,2844,0.00042349
fault,0,4240,2844,0.000141163
hopefully,1,4240,2844,0.000282326
figure,0,4240,2844,0.000141163
copy,3,4240,2844,0.000564653
hell,2,4240,2844,0.00042349
unhappy,0,4240,2844,0.000141163
change,5,4240,2844,0.000846979
input,0,4240,2844,0.000141163
number,2,4240,2844,0.00042349
handl,0,4240,2844,0.000141163
blue,0,4240,2844,0.000141163
minute,0,4240,2844,0.000141163
dupe,0,4240,2844,0.000141163
disappointment,0,4240,2844,0.000141163
inventor,0,4240,2844,0.000141163
excit,5,4240,2844,0.000846979
tragic,0,4240,2844,0.000141163
impression,0,4240,2844,0.000141163
dissent,0,4240,2844,0.000141163
multiple,1,4240,2844,0.000282326
connect,0,4240,2844,0.000141163
server,0,4240,2844,0.000141163
exercise,0,4240,2844,0.000141163
rename,0,4240,2844,0.000141163
bottleneck,0,4240,2844,0.000141163
chance,0,4240,2844,0.000141163
headphone,0,4240,2844,0.000141163
blast,0,4240,2844,0.000141163
ear,0,4240,2844,0.000141163
quite,1,4240,2844,0.000282326
obnoxiou,0,4240,2844,0.000141163
cloudy,0,4240,2844,0.000141163
techy,0,4240,2844,0.000141163
process,1,4240,2844,0.000282326
command,0,4240,2844,0.000141163
design,4,4240,2844,0.000705816
appropriately,0,4240,2844,0.000141163
project,3,4240,2844,0.000564653
resource,0,4240,2844,0.000141163
reliable,0,4240,2844,0.000141163
spoke,0,4240,2844,0.000141163
blare,0,4240,2844,0.000141163
direct,1,4240,2844,0.000282326
wrong,4,4240,2844,0.000705816
suspect,0,4240,2844,0.000141163
perfectly,0,4240,2844,0.000141163
ail,0,4240,2844,0.000141163
stink,0,4240,2844,0.000141163
inform,0,4240,2844,0.000141163
migrate,0,4240,2844,0.000141163
many,1,4240,2844,0.000282326
complaint,0,4240,2844,0.000141163
image,1,4240,2844,0.000282326
rape,0,4240,2844,0.000141163
small,1,4240,2844,0.000282326
realise,0,4240,2844,0.000141163
base,1,4240,2844,0.000282326
petty,0,4240,2844,0.000141163
original,0,4240,2844,0.000141163
location,3,4240,2844,0.000564653
domain,0,4240,2844,0.000141163
empty,0,4240,2844,0.000141163
skin,0,4240,2844,0.000141163
represent,0,4240,2844,0.000141163
tear,0,4240,2844,0.000141163
