Words,Features,# of words in apple,# of unique words in all documents,Condition prob of given word in apple
locate,1,5206,2844,0.000248447
wipe,1,5206,2844,0.000248447
stolen,1,5206,2844,0.000248447
garden,2,5206,2844,0.000372671
replac,8,5206,2844,0.001118012
lunch,2,5206,2844,0.000372671
break,4,5206,2844,0.000621118
today,17,5206,2844,0.002236025
warranty,2,5206,2844,0.000372671
replace,3,5206,2844,0.000496894
bound,1,5206,2844,0.000248447
playbook,1,5206,2844,0.000248447
team,3,5206,2844,0.000496894
amaz,12,5206,2844,0.001614907
featur,3,5206,2844,0.000496894
education,2,5206,2844,0.000372671
sweet,6,5206,2844,0.000869565
want,21,5206,2844,0.002732919
done,14,5206,2844,0.001863354
right,14,5206,2844,0.001863354
useless,2,5206,2844,0.000372671
day,10,5206,2844,0.00136646
unexpect,1,5206,2844,0.000248447
workshop,1,5206,2844,0.000248447
Yesterday,2,5206,2844,0.000372671
awesome,7,5206,2844,0.000993789
amount,1,5206,2844,0.000248447
info,2,5206,2844,0.000372671
question,2,5206,2844,0.000372671
people,11,5206,2844,0.001490683
bitch,3,5206,2844,0.000496894
smartest,2,5206,2844,0.000372671
phone,47,5206,2844,0.005962733
ever,15,5206,2844,0.001987578
happy,7,5206,2844,0.000993789
point,4,5206,2844,0.000621118
mentor,1,5206,2844,0.000248447
triple,1,5206,2844,0.000248447
umber,7,5206,2844,0.000993789
well,14,5206,2844,0.001863354
mobile,5,5206,2844,0.000745342
device,7,5206,2844,0.000993789
talk,8,5206,2844,0.001118012
desktop,2,5206,2844,0.000372671
coach,1,5206,2844,0.000248447
bring,3,5206,2844,0.000496894
wish,5,5206,2844,0.000745342
sell,11,5206,2844,0.001490683
million,20,5206,2844,0.002608696
unit,2,5206,2844,0.000372671
weekend,17,5206,2844,0.002236025
job,25,5206,2844,0.003229814
brilliance,1,5206,2844,0.000248447
live,5,5206,2844,0.000745342
apologize,1,5206,2844,0.000248447
download,10,5206,2844,0.00136646
prove,2,5206,2844,0.000372671
popular,1,5206,2844,0.000248447
look,9,5206,2844,0.001242236
argument,1,5206,2844,0.000248447
incredible,4,5206,2844,0.000621118
better,18,5206,2844,0.002360248
save,6,5206,2844,0.000869565
unwant,1,5206,2844,0.000248447
seen,5,5206,2844,0.000745342
light,3,5206,2844,0.000496894
fix,10,5206,2844,0.00136646
battery,22,5206,2844,0.002857143
drain,6,5206,2844,0.000869565
problem,13,5206,2844,0.00173913
replacement,3,5206,2844,0.000496894
work,27,5206,2844,0.003478261
like,32,5206,2844,0.004099379
champ,2,5206,2844,0.000372671
currently,0,5206,2844,0.000124224
order,5,5206,2844,0.000745342
brand,3,5206,2844,0.000496894
Year,11,5206,2844,0.001490683
miss,11,5206,2844,0.001490683
time,36,5206,2844,0.004596273
bless,2,5206,2844,0.000372671
know,16,5206,2844,0.002111801
brother,2,5206,2844,0.000372671
girlfriend,1,5206,2844,0.000248447
least,2,5206,2844,0.000372671
wait,20,5206,2844,0.002608696
music,8,5206,2844,0.001118012
glass,1,5206,2844,0.000248447
debut,1,5206,2844,0.000248447
technology,6,5206,2844,0.000869565
unreal,1,5206,2844,0.000248447
update,41,5206,2844,0.005217391
another,9,5206,2844,0.001242236
mention,1,5206,2844,0.000248447
get,14,5206,2844,0.001863354
forward,3,5206,2844,0.000496894
stick,1,5206,2844,0.000248447
longer,4,5206,2844,0.000621118
pay,1,5206,2844,0.000248447
text,10,5206,2844,0.00136646
hate,9,5206,2844,0.001242236
computer,10,5206,2844,0.00136646
need,29,5206,2844,0.003726708
mack,1,5206,2844,0.000248447
flawless,2,5206,2844,0.000372671
cloud,5,5206,2844,0.000745342
totally,3,5206,2844,0.000496894
email,6,5206,2844,0.000869565
company,4,5206,2844,0.000621118
alway,5,5206,2844,0.000745342
upgrade,20,5206,2844,0.002608696
nice,8,5206,2844,0.001118012
tech,23,5206,2844,0.002981366
mall,0,5206,2844,0.000124224
faster,1,5206,2844,0.000248447
even,14,5206,2844,0.001863354
though,5,5206,2844,0.000745342
hubby,2,5206,2844,0.000372671
geek,1,5206,2844,0.000248447
make,25,5206,2844,0.003229814
thankful,2,5206,2844,0.000372671
go,13,5206,2844,0.00173913
beyond,1,5206,2844,0.000248447
sick,2,5206,2844,0.000372671
play,5,5206,2844,0.000745342
camera,3,5206,2844,0.000496894
Yeah,3,5206,2844,0.000496894
chang,5,5206,2844,0.000745342
life,8,5206,2844,0.001118012
safari,1,5206,2844,0.000248447
reader,1,5206,2844,0.000248447
own,1,5206,2844,0.000248447
worldwide,2,5206,2844,0.000372671
case,7,5206,2844,0.000993789
hand,2,5206,2844,0.000372671
walk,2,5206,2844,0.000372671
laid,1,5206,2844,0.000248447
next,11,5206,2844,0.001490683
last,11,5206,2844,0.001490683
us,14,5206,2844,0.001863354
disruption,1,5206,2844,0.000248447
lost,10,5206,2844,0.00136646
gig,1,5206,2844,0.000248447
keep,9,5206,2844,0.001242236
Yessss,0,5206,2844,0.000124224
especially,1,5206,2844,0.000248447
slide,1,5206,2844,0.000248447
screen,11,5206,2844,0.001490683
good,13,5206,2844,0.00173913
second,3,5206,2844,0.000496894
madness,1,5206,2844,0.000248447
invest,1,5206,2844,0.000248447
gear,2,5206,2844,0.000372671
sent,4,5206,2844,0.000621118
grandma,1,5206,2844,0.000248447
post,7,5206,2844,0.000993789
card,8,5206,2844,0.001118012
sorry,2,5206,2844,0.000372671
put,1,5206,2844,0.000248447
wash,2,5206,2844,0.000372671
kind,1,5206,2844,0.000248447
equivalent,1,5206,2844,0.000248447
blend,2,5206,2844,0.000372671
hear,7,5206,2844,0.000993789
still,15,5206,2844,0.001987578
alive,0,5206,2844,0.000124224
launder,0,5206,2844,0.000124224
finest,1,5206,2844,0.000248447
moment,1,5206,2844,0.000248447
dry,1,5206,2844,0.000248447
organic,1,5206,2844,0.000248447
rice,1,5206,2844,0.000248447
boot,1,5206,2844,0.000248447
system,5,5206,2844,0.000745342
smash,3,5206,2844,0.000496894
lock,3,5206,2844,0.000496894
open,6,5206,2844,0.000869565
unlock,3,5206,2844,0.000496894
word,3,5206,2844,0.000496894
sale,9,5206,2844,0.001242236
four,8,5206,2844,0.001118012
easter,3,5206,2844,0.000496894
egg,3,5206,2844,0.000496894
pull,8,5206,2844,0.001118012
middle,4,5206,2844,0.000621118
bottom,5,5206,2844,0.000745342
feature,12,5206,2844,0.001614907
simply,2,5206,2844,0.000372671
must,8,5206,2844,0.001118012
admit,1,5206,2844,0.000248447
camper,1,5206,2844,0.000248447
tone,3,5206,2844,0.000496894
ring,2,5206,2844,0.000372671
drake,1,5206,2844,0.000248447
receiv,2,5206,2844,0.000372671
ipod,20,5206,2844,0.002608696
wife,1,5206,2844,0.000248447
upgrad,7,5206,2844,0.000993789
alone,2,5206,2844,0.000372671
worth,2,5206,2844,0.000372671
continu,2,5206,2844,0.000372671
enhance,1,5206,2844,0.000248447
honor,6,5206,2844,0.000869565
truly,2,5206,2844,0.000372671
loss,1,5206,2844,0.000248447
geniu,23,5206,2844,0.002981366
notifi,1,5206,2844,0.000248447
arriv,1,5206,2844,0.000248447
local,1,5206,2844,0.000248447
office,4,5206,2844,0.000621118
deliver,3,5206,2844,0.000496894
sunday,1,5206,2844,0.000248447
magic,1,5206,2844,0.000248447
meet,1,5206,2844,0.000248447
butler,1,5206,2844,0.000248447
click,5,5206,2844,0.000745342
link,5,5206,2844,0.000745342
never,10,5206,2844,0.00136646
feel,5,5206,2844,0.000745342
worst,6,5206,2844,0.000869565
speaker,1,5206,2844,0.000248447
spoil,1,5206,2844,0.000248447
luck,2,5206,2844,0.000372671
surviv,1,5206,2844,0.000248447
addict,1,5206,2844,0.000248447
welcome,2,5206,2844,0.000372671
club,1,5206,2844,0.000248447
innovation,3,5206,2844,0.000496894
exhibit,1,5206,2844,0.000248447
instead,2,5206,2844,0.000372671
watch,5,5206,2844,0.000745342
game,2,5206,2844,0.000372671
sport,1,5206,2844,0.000248447
hiss,1,5206,2844,0.000248447
berry,1,5206,2844,0.000248447
power,7,5206,2844,0.000993789
guy,5,5206,2844,0.000745342
witchcraft,1,5206,2844,0.000248447
lead,3,5206,2844,0.000496894
notification,4,5206,2844,0.000621118
search,3,5206,2844,0.000496894
cover,2,5206,2844,0.000372671
mail,5,5206,2844,0.000745342
wifi,2,5206,2844,0.000372671
sync,10,5206,2844,0.00136646
backup,3,5206,2844,0.000496894
integrate,4,5206,2844,0.000621118
jame,3,5206,2844,0.000496894
stewart,2,5206,2844,0.000372671
story,2,5206,2844,0.000372671
importance,2,5206,2844,0.000372671
architecture,2,5206,2844,0.000372671
retail,3,5206,2844,0.000496894
success,6,5206,2844,0.000869565
world,13,5206,2844,0.00173913
impressive,1,5206,2844,0.000248447
metro,1,5206,2844,0.000248447
centre,1,5206,2844,0.000248447
cable,1,5206,2844,0.000248447
book,4,5206,2844,0.000621118
grati,2,5206,2844,0.000372671
show,13,5206,2844,0.00173913
hairline,2,5206,2844,0.000372671
happen,6,5206,2844,0.000869565
edge,1,5206,2844,0.000248447
taken,2,5206,2844,0.000372671
min,1,5206,2844,0.000248447
write,1,5206,2844,0.000248447
convert,2,5206,2844,0.000372671
grass,1,5206,2844,0.000248447
greener,1,5206,2844,0.000248447
backside,2,5206,2844,0.000372671
impress,2,5206,2844,0.000372671
space,3,5206,2844,0.000496894
creative,1,5206,2844,0.000248447
product,15,5206,2844,0.001987578
inspire,1,5206,2844,0.000248447
unbelievable,1,5206,2844,0.000248447
present,1,5206,2844,0.000248447
requir,0,5206,2844,0.000124224
finally,2,5206,2844,0.000372671
stupid,4,5206,2844,0.000621118
learn,2,5206,2844,0.000372671
lesson,0,5206,2844,0.000124224
absolutely,4,5206,2844,0.000621118
invent,4,5206,2844,0.000621118
parent,1,5206,2844,0.000248447
listen,4,5206,2844,0.000621118
create,2,5206,2844,0.000372671
folder,5,5206,2844,0.000745342
within,1,5206,2844,0.000248447
photo,11,5206,2844,0.001490683
album,5,5206,2844,0.000745342
thorn,1,5206,2844,0.000248447
workstation,1,5206,2844,0.000248447
di,2,5206,2844,0.000372671
month,6,5206,2844,0.000869565
long,3,5206,2844,0.000496894
hello,12,5206,2844,0.001614907
really,27,5206,2844,0.003478261
throw,2,5206,2844,0.000372671
trash,1,5206,2844,0.000248447
upload,1,5206,2844,0.000248447
issue,17,5206,2844,0.002236025
submit,1,5206,2844,0.000248447
idea,2,5206,2844,0.000372671
beta,1,5206,2844,0.000248447
crazy,2,5206,2844,0.000372671
crop,1,5206,2844,0.000248447
prop,1,5206,2844,0.000248447
employee,1,5206,2844,0.000248447
charge,6,5206,2844,0.000869565
back,19,5206,2844,0.002484472
plate,1,5206,2844,0.000248447
mouse,6,5206,2844,0.000869565
voice,8,5206,2844,0.001118012
recognition,2,5206,2844,0.000372671
step,3,5206,2844,0.000496894
previou,1,5206,2844,0.000248447
attempt,2,5206,2844,0.000372671
bravo,1,5206,2844,0.000248447
sprint,5,5206,2844,0.000745342
expect,1,5206,2844,0.000248447
touch,15,5206,2844,0.001987578
coolness,1,5206,2844,0.000248447
apparently,5,5206,2844,0.000745342
storage,4,5206,2844,0.000621118
tell,9,5206,2844,0.001242236
full,7,5206,2844,0.000993789
expensive,2,5206,2844,0.000372671
went,6,5206,2844,0.000869565
loyalty,2,5206,2844,0.000372671
kill,4,5206,2844,0.000621118
tune,1,5206,2844,0.000248447
lonely,1,5206,2844,0.000248447
silly,1,5206,2844,0.000248447
hurry,2,5206,2844,0.000372671
release,9,5206,2844,0.001242236
exchange,1,5206,2844,0.000248447
cord,2,5206,2844,0.000372671
airdrop,1,5206,2844,0.000248447
fail,16,5206,2844,0.002111801
immediate,1,5206,2844,0.000248447
declin,1,5206,2844,0.000248447
request,1,5206,2844,0.000248447
every,13,5206,2844,0.00173913
article,5,5206,2844,0.000745342
fuck,29,5206,2844,0.003726708
lion,9,5206,2844,0.001242236
future,3,5206,2844,0.000496894
complain,4,5206,2844,0.000621118
Yellow,2,5206,2844,0.000372671
tint,2,5206,2844,0.000372671
contact,8,5206,2844,0.001118012
picture,1,5206,2844,0.000248447
list,4,5206,2844,0.000621118
simple,5,5206,2844,0.000745342
major,2,5206,2844,0.000372671
ask,1,5206,2844,0.000248447
dream,2,5206,2844,0.000372671
electric,1,5206,2844,0.000248447
sleep,1,5206,2844,0.000248447
answer,3,5206,2844,0.000496894
opportunity,1,5206,2844,0.000248447
surprise,1,5206,2844,0.000248447
error,3,5206,2844,0.000496894
alert,1,5206,2844,0.000248447
authorize,3,5206,2844,0.000496894
button,4,5206,2844,0.000621118
evil,2,5206,2844,0.000372671
lord,1,5206,2844,0.000248447
blaze,1,5206,2844,0.000248447
inferno,0,5206,2844,0.000124224
obviously,1,5206,2844,0.000248447
noth,7,5206,2844,0.000993789
perfect,1,5206,2844,0.000248447
opposite,1,5206,2844,0.000248447
please,18,5206,2844,0.002360248
delete,1,5206,2844,0.000248447
dick,2,5206,2844,0.000372671
sign,3,5206,2844,0.000496894
seriously,6,5206,2844,0.000869565
of,1,5206,2844,0.000248447
clue,1,5206,2844,0.000248447
mean,2,5206,2844,0.000372671
authorization,1,5206,2844,0.000248447
harder,3,5206,2844,0.000496894
purchas,6,5206,2844,0.000869565
shit,12,5206,2844,0.001614907
data,6,5206,2844,0.000869565
media,2,5206,2844,0.000372671
take,8,5206,2844,0.001118012
rebuild,0,5206,2844,0.000124224
vega,1,5206,2844,0.000248447
give,9,5206,2844,0.001242236
hour,18,5206,2844,0.002360248
wonky,1,5206,2844,0.000248447
dear,13,5206,2844,0.00173913
destroy,2,5206,2844,0.000372671
productivity,1,5206,2844,0.000248447
lack,3,5206,2844,0.000496894
frustrate,1,5206,2844,0.000248447
ruin,1,5206,2844,0.000248447
turn,12,5206,2844,0.001614907
utterly,2,5206,2844,0.000372671
pile,1,5206,2844,0.000248447
sure,6,5206,2844,0.000869565
duff,1,5206,2844,0.000248447
almost,1,5206,2844,0.000248447
week,6,5206,2844,0.000869565
paid,4,5206,2844,0.000621118
match,1,5206,2844,0.000248447
remov,2,5206,2844,0.000372671
hard,3,5206,2844,0.000496894
suck,6,5206,2844,0.000869565
interest,4,5206,2844,0.000621118
note,3,5206,2844,0.000496894
removable,1,5206,2844,0.000248447
launch,7,5206,2844,0.000993789
can,1,5206,2844,0.000248447
jackass,1,5206,2844,0.000248447
shoot,1,5206,2844,0.000248447
shuffle,1,5206,2844,0.000248447
sound,5,5206,2844,0.000745342
quality,4,5206,2844,0.000621118
painfully,2,5206,2844,0.000372671
crap,3,5206,2844,0.000496894
downgrade,1,5206,2844,0.000248447
wise,1,5206,2844,0.000248447
slow,4,5206,2844,0.000621118
stuck,5,5206,2844,0.000745342
half,5,5206,2844,0.000745342
thankfully,1,5206,2844,0.000248447
damage,2,5206,2844,0.000372671
thorough,1,5206,2844,0.000248447
cost,2,5206,2844,0.000372671
mightily,0,5206,2844,0.000124224
include,1,5206,2844,0.000248447
song,4,5206,2844,0.000621118
compilation,1,5206,2844,0.000248447
artist,2,5206,2844,0.000372671
name,7,5206,2844,0.000993789
exclaim,1,5206,2844,0.000248447
whole,1,5206,2844,0.000248447
total,1,5206,2844,0.000248447
chao,1,5206,2844,0.000248447
street,1,5206,2844,0.000248447
ethiopian,1,5206,2844,0.000248447
feed,1,5206,2844,0.000248447
station,1,5206,2844,0.000248447
believe,2,5206,2844,0.000372671
cool,1,5206,2844,0.000248447
purchase,5,5206,2844,0.000745342
survey,1,5206,2844,0.000248447
correction,0,5206,2844,0.000124224
kudo,1,5206,2844,0.000248447
alamo,1,5206,2844,0.000248447
ranch,1,5206,2844,0.000248447
resolve,3,5206,2844,0.000496894
hero,1,5206,2844,0.000248447
stand,1,5206,2844,0.000248447
line,15,5206,2844,0.001987578
newest,1,5206,2844,0.000248447
sucker,1,5206,2844,0.000248447
braille,1,5206,2844,0.000248447
bump,1,5206,2844,0.000248447
crush,1,5206,2844,0.000248447
already,7,5206,2844,0.000993789
schedule,3,5206,2844,0.000496894
summer,2,5206,2844,0.000372671
thursday,1,5206,2844,0.000248447
available,7,5206,2844,0.000993789
appointment,2,5206,2844,0.000372671
allow,3,5206,2844,0.000496894
push,2,5206,2844,0.000372671
Yap,1,5206,2844,0.000248447
message,7,5206,2844,0.000993789
icon,3,5206,2844,0.000496894
includ,1,5206,2844,0.000248447
require,1,5206,2844,0.000248447
reservation,6,5206,2844,0.000869565
crappy,2,5206,2844,0.000372671
keyboard,4,5206,2844,0.000621118
around,1,5206,2844,0.000248447
progress,1,5206,2844,0.000248447
function,2,5206,2844,0.000372671
page,12,5206,2844,0.001614907
awful,2,5206,2844,0.000372671
interrupt,1,5206,2844,0.000248447
piece,4,5206,2844,0.000621118
dollar,1,5206,2844,0.000248447
charg,3,5206,2844,0.000496894
slowly,1,5206,2844,0.000248447
solve,1,5206,2844,0.000248447
pick,3,5206,2844,0.000496894
set,3,5206,2844,0.000496894
calendar,2,5206,2844,0.000372671
item,5,5206,2844,0.000745342
program,2,5206,2844,0.000372671
software,4,5206,2844,0.000621118
repair,3,5206,2844,0.000496894
proper,2,5206,2844,0.000372671
consolidation,1,5206,2844,0.000248447
stop,7,5206,2844,0.000993789
lose,4,5206,2844,0.000621118
bought,1,5206,2844,0.000248447
ship,1,5206,2844,0.000248447
enable,1,5206,2844,0.000248447
plan,3,5206,2844,0.000496894
handle,1,5206,2844,0.000248447
prevent,1,5206,2844,0.000248447
audio,2,5206,2844,0.000372671
operate,1,5206,2844,0.000248447
properly,4,5206,2844,0.000621118
hater,1,5206,2844,0.000248447
buttery,1,5206,2844,0.000248447
finish,1,5206,2844,0.000248447
fast,1,5206,2844,0.000248447
signal,3,5206,2844,0.000496894
rapidly,1,5206,2844,0.000248447
canon,3,5206,2844,0.000496894
compact,1,5206,2844,0.000248447
flash,2,5206,2844,0.000372671
goe,3,5206,2844,0.000496894
damn,7,5206,2844,0.000993789
term,1,5206,2844,0.000248447
condition,1,5206,2844,0.000248447
read,6,5206,2844,0.000869565
late,4,5206,2844,0.000621118
screw,4,5206,2844,0.000621118
alarm,2,5206,2844,0.000372671
dose,1,5206,2844,0.000248447
decide,2,5206,2844,0.000372671
freeze,4,5206,2844,0.000621118
wont,2,5206,2844,0.000372671
annoy,4,5206,2844,0.000621118
officially,3,5206,2844,0.000496894
boycot,2,5206,2844,0.000372671
curse,2,5206,2844,0.000372671
wast,4,5206,2844,0.000621118
seek,1,5206,2844,0.000248447
japan,2,5206,2844,0.000372671
australia,3,5206,2844,0.000496894
patent,2,5206,2844,0.000372671
intensifi,1,5206,2844,0.000248447
injunction,1,5206,2844,0.000248447
sought,1,5206,2844,0.000248447
dead,4,5206,2844,0.000621118
restore,11,5206,2844,0.001490683
pain,1,5206,2844,0.000248447
room,1,5206,2844,0.000248447
undo,2,5206,2844,0.000372671
garbage,1,5206,2844,0.000248447
avail,1,5206,2844,0.000248447
site,1,5206,2844,0.000248447
browser,1,5206,2844,0.000248447
trouble,6,5206,2844,0.000869565
brightness,2,5206,2844,0.000372671
remember,3,5206,2844,0.000496894
enter,1,5206,2844,0.000248447
market,6,5206,2844,0.000869565
piss,7,5206,2844,0.000993789
certain,1,5206,2844,0.000248447
worse,2,5206,2844,0.000372671
newton,1,5206,2844,0.000248447
hockey,1,5206,2844,0.000248447
puck,1,5206,2844,0.000248447
painful,2,5206,2844,0.000372671
invention,1,5206,2844,0.000248447
account,3,5206,2844,0.000496894
suddenly,1,5206,2844,0.000248447
address,2,5206,2844,0.000372671
someone,7,5206,2844,0.000993789
window,6,5206,2844,0.000869565
compatible,1,5206,2844,0.000248447
care,2,5206,2844,0.000372671
restor,1,5206,2844,0.000248447
restriction,1,5206,2844,0.000248447
none,2,5206,2844,0.000372671
seemingly,1,5206,2844,0.000248447
endless,1,5206,2844,0.000248447
loop,3,5206,2844,0.000496894
investigate,1,5206,2844,0.000248447
terrible,3,5206,2844,0.000496894
apology,1,5206,2844,0.000248447
busy,3,5206,2844,0.000496894
stylu,1,5206,2844,0.000248447
forever,1,5206,2844,0.000248447
outside,2,5206,2844,0.000372671
daughter,3,5206,2844,0.000496894
drive,1,5206,2844,0.000248447
nut,1,5206,2844,0.000248447
blame,2,5206,2844,0.000372671
honest,1,5206,2844,0.000248447
complete,2,5206,2844,0.000372671
poor,1,5206,2844,0.000248447
slip,1,5206,2844,0.000248447
except,3,5206,2844,0.000496894
cute,1,5206,2844,0.000248447
eyelash,1,5206,2844,0.000248447
bat,1,5206,2844,0.000248447
shag,1,5206,2844,0.000248447
snatch,1,5206,2844,0.000248447
dependent,1,5206,2844,0.000248447
network,13,5206,2844,0.00173913
connection,2,5206,2844,0.000372671
utter,1,5206,2844,0.000248447
frustration,0,5206,2844,0.000124224
amus,1,5206,2844,0.000248447
seem,7,5206,2844,0.000993789
render,1,5206,2844,0.000248447
machine,1,5206,2844,0.000248447
incapable,1,5206,2844,0.000248447
zero,1,5206,2844,0.000248447
useful,2,5206,2844,0.000372671
commit,1,5206,2844,0.000248447
rain,1,5206,2844,0.000248447
soon,4,5206,2844,0.000621118
share,5,5206,2844,0.000745342
reminder,2,5206,2844,0.000372671
also,11,5206,2844,0.001490683
webpage,1,5206,2844,0.000248447
modify,1,5206,2844,0.000248447
crashe,2,5206,2844,0.000372671
congratulation,2,5206,2844,0.000372671
incompatible,2,5206,2844,0.000372671
vertical,1,5206,2844,0.000248447
mission,1,5206,2844,0.000248447
control,2,5206,2844,0.000372671
horizontal,1,5206,2844,0.000248447
business,3,5206,2844,0.000496894
nauseou,0,5206,2844,0.000124224
explain,2,5206,2844,0.000372671
distribut,1,5206,2844,0.000248447
succee,1,5206,2844,0.000248447
early,1,5206,2844,0.000248447
file,4,5206,2844,0.000621118
disappear,1,5206,2844,0.000248447
hurt,1,5206,2844,0.000248447
li,2,5206,2844,0.000372671
definitely,3,5206,2844,0.000496894
check,8,5206,2844,0.001118012
usage,1,5206,2844,0.000248447
huge,3,5206,2844,0.000496894
podcast,3,5206,2844,0.000496894
drop,3,5206,2844,0.000496894
ball,3,5206,2844,0.000496894
perhap,1,5206,2844,0.000248447
star,1,5206,2844,0.000248447
war,2,5206,2844,0.000372671
brain,2,5206,2844,0.000372671
password,1,5206,2844,0.000248447
protect,1,5206,2844,0.000248447
quickly,1,5206,2844,0.000248447
see,2,5206,2844,0.000372671
bar,1,5206,2844,0.000248447
return,4,5206,2844,0.000621118
anyway,1,5206,2844,0.000248447
start,3,5206,2844,0.000496894
knew,1,5206,2844,0.000248447
pink,1,5206,2844,0.000248447
hold,11,5206,2844,0.001490683
hindi,1,5206,2844,0.000248447
cheer,1,5206,2844,0.000248447
indian,1,5206,2844,0.000248447
language,1,5206,2844,0.000248447
warn,1,5206,2844,0.000248447
spontaneously,2,5206,2844,0.000372671
loose,2,5206,2844,0.000372671
might,2,5206,2844,0.000372671
fault,4,5206,2844,0.000621118
hopefully,3,5206,2844,0.000496894
figure,3,5206,2844,0.000496894
copy,3,5206,2844,0.000496894
hell,7,5206,2844,0.000993789
unhappy,2,5206,2844,0.000372671
change,7,5206,2844,0.000993789
input,2,5206,2844,0.000372671
number,2,5206,2844,0.000372671
handl,2,5206,2844,0.000372671
blue,3,5206,2844,0.000496894
minute,7,5206,2844,0.000993789
dupe,1,5206,2844,0.000248447
disappointment,2,5206,2844,0.000372671
inventor,1,5206,2844,0.000248447
excit,1,5206,2844,0.000248447
tragic,1,5206,2844,0.000248447
impression,1,5206,2844,0.000248447
dissent,1,5206,2844,0.000248447
multiple,1,5206,2844,0.000248447
connect,8,5206,2844,0.001118012
server,5,5206,2844,0.000745342
exercise,1,5206,2844,0.000248447
rename,2,5206,2844,0.000372671
bottleneck,1,5206,2844,0.000248447
chance,1,5206,2844,0.000248447
headphone,1,5206,2844,0.000248447
blast,1,5206,2844,0.000248447
ear,1,5206,2844,0.000248447
quite,1,5206,2844,0.000248447
obnoxiou,1,5206,2844,0.000248447
cloudy,1,5206,2844,0.000248447
techy,1,5206,2844,0.000248447
process,1,5206,2844,0.000248447
command,2,5206,2844,0.000372671
design,8,5206,2844,0.001118012
appropriately,2,5206,2844,0.000372671
project,3,5206,2844,0.000496894
resource,2,5206,2844,0.000372671
reliable,0,5206,2844,0.000124224
spoke,0,5206,2844,0.000124224
blare,1,5206,2844,0.000248447
direct,1,5206,2844,0.000248447
wrong,1,5206,2844,0.000248447
suspect,1,5206,2844,0.000248447
perfectly,1,5206,2844,0.000248447
ail,0,5206,2844,0.000124224
stink,0,5206,2844,0.000124224
inform,1,5206,2844,0.000248447
migrate,1,5206,2844,0.000248447
many,6,5206,2844,0.000869565
complaint,1,5206,2844,0.000248447
image,2,5206,2844,0.000372671
rape,1,5206,2844,0.000248447
small,1,5206,2844,0.000248447
realise,1,5206,2844,0.000248447
base,2,5206,2844,0.000372671
petty,1,5206,2844,0.000248447
original,1,5206,2844,0.000248447
location,3,5206,2844,0.000496894
domain,1,5206,2844,0.000248447
empty,1,5206,2844,0.000248447
skin,1,5206,2844,0.000248447
represent,1,5206,2844,0.000248447
tear,1,5206,2844,0.000248447
