Words,Features,# of words in twitter,# of unique words in all documents,Condition prob of given word in twitter
day,13,2145,2844,0.002806174
unexpect,0,2145,2844,0.000200441
workshop,0,2145,2844,0.000200441
Yesterday,0,2145,2844,0.000200441
awesome,3,2145,2844,0.000801764
amount,1,2145,2844,0.000400882
info,0,2145,2844,0.000200441
question,1,2145,2844,0.000400882
people,16,2145,2844,0.003407496
bitch,5,2145,2844,0.001202646
smartest,0,2145,2844,0.000200441
phone,9,2145,2844,0.00200441
ever,0,2145,2844,0.000200441
happy,4,2145,2844,0.001002205
point,2,2145,2844,0.000601323
mentor,0,2145,2844,0.000200441
triple,0,2145,2844,0.000200441
umber,0,2145,2844,0.000200441
well,4,2145,2844,0.001002205
mobile,0,2145,2844,0.000200441
device,0,2145,2844,0.000200441
talk,4,2145,2844,0.001002205
desktop,0,2145,2844,0.000200441
coach,0,2145,2844,0.000200441
bring,0,2145,2844,0.000200441
wish,1,2145,2844,0.000400882
sell,0,2145,2844,0.000200441
million,1,2145,2844,0.000400882
unit,0,2145,2844,0.000200441
weekend,0,2145,2844,0.000200441
job,0,2145,2844,0.000200441
brilliance,0,2145,2844,0.000200441
live,5,2145,2844,0.001202646
apologize,2,2145,2844,0.000601323
download,0,2145,2844,0.000200441
prove,0,2145,2844,0.000200441
popular,0,2145,2844,0.000200441
look,4,2145,2844,0.001002205
argument,1,2145,2844,0.000400882
incredible,0,2145,2844,0.000200441
better,9,2145,2844,0.00200441
save,2,2145,2844,0.000601323
unwant,0,2145,2844,0.000200441
seen,1,2145,2844,0.000400882
light,1,2145,2844,0.000400882
fix,1,2145,2844,0.000400882
battery,0,2145,2844,0.000200441
drain,0,2145,2844,0.000200441
problem,4,2145,2844,0.001002205
replacement,0,2145,2844,0.000200441
work,8,2145,2844,0.001803969
like,29,2145,2844,0.006013229
champ,0,2145,2844,0.000200441
currently,0,2145,2844,0.000200441
order,0,2145,2844,0.000200441
brand,1,2145,2844,0.000400882
Year,12,2145,2844,0.002605733
miss,5,2145,2844,0.001202646
time,10,2145,2844,0.002204851
bless,2,2145,2844,0.000601323
know,18,2145,2844,0.003808378
brother,0,2145,2844,0.000200441
girlfriend,1,2145,2844,0.000400882
least,2,2145,2844,0.000601323
wait,1,2145,2844,0.000400882
music,4,2145,2844,0.001002205
glass,0,2145,2844,0.000200441
debut,0,2145,2844,0.000200441
technology,3,2145,2844,0.000801764
unreal,0,2145,2844,0.000200441
update,11,2145,2844,0.002405292
another,2,2145,2844,0.000601323
mention,6,2145,2844,0.001403087
get,3,2145,2844,0.000801764
forward,1,2145,2844,0.000400882
stick,0,2145,2844,0.000200441
longer,1,2145,2844,0.000400882
pay,1,2145,2844,0.000400882
text,3,2145,2844,0.000801764
hate,2,2145,2844,0.000601323
computer,1,2145,2844,0.000400882
need,21,2145,2844,0.004409701
mack,0,2145,2844,0.000200441
flawless,0,2145,2844,0.000200441
cloud,0,2145,2844,0.000200441
totally,0,2145,2844,0.000200441
email,3,2145,2844,0.000801764
company,0,2145,2844,0.000200441
alway,2,2145,2844,0.000601323
upgrade,0,2145,2844,0.000200441
nice,2,2145,2844,0.000601323
tech,0,2145,2844,0.000200441
mall,0,2145,2844,0.000200441
faster,0,2145,2844,0.000200441
even,9,2145,2844,0.00200441
though,0,2145,2844,0.000200441
hubby,0,2145,2844,0.000200441
geek,0,2145,2844,0.000200441
make,16,2145,2844,0.003407496
thankful,0,2145,2844,0.000200441
go,5,2145,2844,0.001202646
beyond,0,2145,2844,0.000200441
sick,0,2145,2844,0.000200441
play,0,2145,2844,0.000200441
camera,0,2145,2844,0.000200441
Yeah,1,2145,2844,0.000400882
chang,3,2145,2844,0.000801764
life,7,2145,2844,0.001603528
safari,0,2145,2844,0.000200441
reader,0,2145,2844,0.000200441
own,0,2145,2844,0.000200441
worldwide,3,2145,2844,0.000801764
case,1,2145,2844,0.000400882
hand,0,2145,2844,0.000200441
walk,0,2145,2844,0.000200441
laid,0,2145,2844,0.000200441
next,0,2145,2844,0.000200441
last,1,2145,2844,0.000400882
us,4,2145,2844,0.001002205
disruption,0,2145,2844,0.000200441
lost,2,2145,2844,0.000601323
gig,0,2145,2844,0.000200441
keep,13,2145,2844,0.002806174
Yessss,0,2145,2844,0.000200441
especially,1,2145,2844,0.000400882
slide,0,2145,2844,0.000200441
screen,0,2145,2844,0.000200441
good,12,2145,2844,0.002605733
second,12,2145,2844,0.002605733
madness,0,2145,2844,0.000200441
invest,0,2145,2844,0.000200441
gear,0,2145,2844,0.000200441
sent,0,2145,2844,0.000200441
grandma,0,2145,2844,0.000200441
post,8,2145,2844,0.001803969
card,0,2145,2844,0.000200441
sorry,2,2145,2844,0.000601323
put,0,2145,2844,0.000200441
wash,0,2145,2844,0.000200441
kind,0,2145,2844,0.000200441
equivalent,0,2145,2844,0.000200441
blend,0,2145,2844,0.000200441
hear,0,2145,2844,0.000200441
still,8,2145,2844,0.001803969
alive,2,2145,2844,0.000601323
launder,0,2145,2844,0.000200441
finest,0,2145,2844,0.000200441
moment,2,2145,2844,0.000601323
dry,0,2145,2844,0.000200441
organic,0,2145,2844,0.000200441
rice,0,2145,2844,0.000200441
boot,0,2145,2844,0.000200441
system,0,2145,2844,0.000200441
smash,0,2145,2844,0.000200441
lock,3,2145,2844,0.000801764
open,0,2145,2844,0.000200441
unlock,0,2145,2844,0.000200441
word,4,2145,2844,0.001002205
sale,0,2145,2844,0.000200441
four,1,2145,2844,0.000400882
easter,0,2145,2844,0.000200441
egg,0,2145,2844,0.000200441
pull,2,2145,2844,0.000601323
middle,0,2145,2844,0.000200441
bottom,0,2145,2844,0.000200441
feature,0,2145,2844,0.000200441
simply,3,2145,2844,0.000801764
must,2,2145,2844,0.000601323
admit,0,2145,2844,0.000200441
camper,0,2145,2844,0.000200441
tone,0,2145,2844,0.000200441
ring,0,2145,2844,0.000200441
drake,0,2145,2844,0.000200441
receiv,0,2145,2844,0.000200441
ipod,0,2145,2844,0.000200441
wife,1,2145,2844,0.000400882
upgrad,0,2145,2844,0.000200441
alone,1,2145,2844,0.000400882
worth,2,2145,2844,0.000601323
continu,0,2145,2844,0.000200441
enhance,0,2145,2844,0.000200441
honor,0,2145,2844,0.000200441
truly,1,2145,2844,0.000400882
loss,0,2145,2844,0.000200441
geniu,0,2145,2844,0.000200441
notifi,1,2145,2844,0.000400882
arriv,0,2145,2844,0.000200441
local,1,2145,2844,0.000400882
office,0,2145,2844,0.000200441
deliver,0,2145,2844,0.000200441
sunday,0,2145,2844,0.000200441
magic,0,2145,2844,0.000200441
meet,0,2145,2844,0.000200441
butler,0,2145,2844,0.000200441
click,1,2145,2844,0.000400882
link,1,2145,2844,0.000400882
never,8,2145,2844,0.001803969
feel,5,2145,2844,0.001202646
worst,0,2145,2844,0.000200441
speaker,0,2145,2844,0.000200441
spoil,0,2145,2844,0.000200441
luck,0,2145,2844,0.000200441
surviv,0,2145,2844,0.000200441
addict,6,2145,2844,0.001403087
welcome,4,2145,2844,0.001002205
club,0,2145,2844,0.000200441
innovation,0,2145,2844,0.000200441
exhibit,0,2145,2844,0.000200441
instead,3,2145,2844,0.000801764
watch,4,2145,2844,0.001002205
game,2,2145,2844,0.000601323
sport,1,2145,2844,0.000400882
hiss,0,2145,2844,0.000200441
berry,0,2145,2844,0.000200441
power,1,2145,2844,0.000400882
guy,1,2145,2844,0.000400882
witchcraft,0,2145,2844,0.000200441
lead,0,2145,2844,0.000200441
notification,0,2145,2844,0.000200441
search,0,2145,2844,0.000200441
cover,0,2145,2844,0.000200441
mail,0,2145,2844,0.000200441
wifi,0,2145,2844,0.000200441
sync,0,2145,2844,0.000200441
backup,0,2145,2844,0.000200441
integrate,0,2145,2844,0.000200441
jame,0,2145,2844,0.000200441
stewart,0,2145,2844,0.000200441
story,1,2145,2844,0.000400882
importance,0,2145,2844,0.000200441
architecture,0,2145,2844,0.000200441
retail,0,2145,2844,0.000200441
success,0,2145,2844,0.000200441
world,6,2145,2844,0.001403087
impressive,1,2145,2844,0.000400882
metro,0,2145,2844,0.000200441
centre,0,2145,2844,0.000200441
cable,0,2145,2844,0.000200441
book,3,2145,2844,0.000801764
grati,0,2145,2844,0.000200441
show,7,2145,2844,0.001603528
hairline,0,2145,2844,0.000200441
happen,4,2145,2844,0.001002205
edge,0,2145,2844,0.000200441
taken,0,2145,2844,0.000200441
min,0,2145,2844,0.000200441
write,3,2145,2844,0.000801764
convert,0,2145,2844,0.000200441
grass,0,2145,2844,0.000200441
greener,0,2145,2844,0.000200441
backside,0,2145,2844,0.000200441
impress,0,2145,2844,0.000200441
space,0,2145,2844,0.000200441
creative,0,2145,2844,0.000200441
product,0,2145,2844,0.000200441
inspire,0,2145,2844,0.000200441
unbelievable,0,2145,2844,0.000200441
present,0,2145,2844,0.000200441
requir,0,2145,2844,0.000200441
finally,4,2145,2844,0.001002205
stupid,1,2145,2844,0.000400882
learn,1,2145,2844,0.000400882
lesson,0,2145,2844,0.000200441
absolutely,0,2145,2844,0.000200441
invent,0,2145,2844,0.000200441
parent,0,2145,2844,0.000200441
listen,0,2145,2844,0.000200441
create,1,2145,2844,0.000400882
folder,0,2145,2844,0.000200441
within,0,2145,2844,0.000200441
photo,1,2145,2844,0.000400882
album,0,2145,2844,0.000200441
thorn,0,2145,2844,0.000200441
workstation,0,2145,2844,0.000200441
di,0,2145,2844,0.000200441
month,2,2145,2844,0.000601323
long,3,2145,2844,0.000801764
hello,2,2145,2844,0.000601323
really,11,2145,2844,0.002405292
throw,1,2145,2844,0.000400882
trash,1,2145,2844,0.000400882
upload,1,2145,2844,0.000400882
issue,3,2145,2844,0.000801764
submit,0,2145,2844,0.000200441
idea,1,2145,2844,0.000400882
beta,0,2145,2844,0.000200441
crazy,2,2145,2844,0.000601323
crop,0,2145,2844,0.000200441
prop,1,2145,2844,0.000400882
employee,0,2145,2844,0.000200441
charge,0,2145,2844,0.000200441
back,14,2145,2844,0.003006615
plate,0,2145,2844,0.000200441
mouse,0,2145,2844,0.000200441
voice,2,2145,2844,0.000601323
recognition,0,2145,2844,0.000200441
step,2,2145,2844,0.000601323
previou,0,2145,2844,0.000200441
attempt,0,2145,2844,0.000200441
bravo,0,2145,2844,0.000200441
sprint,1,2145,2844,0.000400882
expect,0,2145,2844,0.000200441
touch,2,2145,2844,0.000601323
coolness,0,2145,2844,0.000200441
apparently,0,2145,2844,0.000200441
storage,0,2145,2844,0.000200441
tell,10,2145,2844,0.002204851
full,0,2145,2844,0.000200441
expensive,0,2145,2844,0.000200441
went,0,2145,2844,0.000200441
loyalty,0,2145,2844,0.000200441
kill,0,2145,2844,0.000200441
tune,0,2145,2844,0.000200441
lonely,0,2145,2844,0.000200441
silly,0,2145,2844,0.000200441
hurry,0,2145,2844,0.000200441
release,0,2145,2844,0.000200441
exchange,0,2145,2844,0.000200441
cord,0,2145,2844,0.000200441
airdrop,0,2145,2844,0.000200441
fail,1,2145,2844,0.000400882
immediate,0,2145,2844,0.000200441
declin,0,2145,2844,0.000200441
request,0,2145,2844,0.000200441
every,5,2145,2844,0.001202646
article,0,2145,2844,0.000200441
fuck,11,2145,2844,0.002405292
lion,0,2145,2844,0.000200441
future,1,2145,2844,0.000400882
complain,0,2145,2844,0.000200441
Yellow,0,2145,2844,0.000200441
tint,0,2145,2844,0.000200441
contact,0,2145,2844,0.000200441
picture,1,2145,2844,0.000400882
list,1,2145,2844,0.000400882
simple,0,2145,2844,0.000200441
major,0,2145,2844,0.000200441
ask,0,2145,2844,0.000200441
dream,0,2145,2844,0.000200441
electric,0,2145,2844,0.000200441
sleep,13,2145,2844,0.002806174
answer,2,2145,2844,0.000601323
opportunity,0,2145,2844,0.000200441
surprise,0,2145,2844,0.000200441
error,0,2145,2844,0.000200441
alert,0,2145,2844,0.000200441
authorize,0,2145,2844,0.000200441
button,0,2145,2844,0.000200441
evil,0,2145,2844,0.000200441
lord,1,2145,2844,0.000400882
blaze,0,2145,2844,0.000200441
inferno,0,2145,2844,0.000200441
obviously,0,2145,2844,0.000200441
noth,0,2145,2844,0.000200441
perfect,0,2145,2844,0.000200441
opposite,0,2145,2844,0.000200441
please,8,2145,2844,0.001803969
delete,1,2145,2844,0.000400882
dick,0,2145,2844,0.000200441
sign,0,2145,2844,0.000200441
seriously,2,2145,2844,0.000601323
of,0,2145,2844,0.000200441
clue,0,2145,2844,0.000200441
mean,3,2145,2844,0.000801764
authorization,0,2145,2844,0.000200441
harder,0,2145,2844,0.000200441
purchas,0,2145,2844,0.000200441
shit,14,2145,2844,0.003006615
data,0,2145,2844,0.000200441
media,4,2145,2844,0.001002205
take,10,2145,2844,0.002204851
rebuild,0,2145,2844,0.000200441
vega,0,2145,2844,0.000200441
give,9,2145,2844,0.00200441
hour,15,2145,2844,0.003207056
wonky,0,2145,2844,0.000200441
dear,2,2145,2844,0.000601323
destroy,0,2145,2844,0.000200441
productivity,0,2145,2844,0.000200441
lack,0,2145,2844,0.000200441
frustrate,0,2145,2844,0.000200441
ruin,0,2145,2844,0.000200441
turn,1,2145,2844,0.000400882
utterly,0,2145,2844,0.000200441
pile,0,2145,2844,0.000200441
sure,2,2145,2844,0.000601323
duff,0,2145,2844,0.000200441
almost,1,2145,2844,0.000400882
week,0,2145,2844,0.000200441
paid,0,2145,2844,0.000200441
match,0,2145,2844,0.000200441
remov,0,2145,2844,0.000200441
hard,2,2145,2844,0.000601323
suck,2,2145,2844,0.000601323
interest,3,2145,2844,0.000801764
note,1,2145,2844,0.000400882
removable,0,2145,2844,0.000200441
launch,0,2145,2844,0.000200441
can,0,2145,2844,0.000200441
jackass,0,2145,2844,0.000200441
shoot,0,2145,2844,0.000200441
shuffle,0,2145,2844,0.000200441
sound,0,2145,2844,0.000200441
quality,0,2145,2844,0.000200441
painfully,0,2145,2844,0.000200441
crap,0,2145,2844,0.000200441
downgrade,0,2145,2844,0.000200441
wise,0,2145,2844,0.000200441
slow,0,2145,2844,0.000200441
stuck,2,2145,2844,0.000601323
half,0,2145,2844,0.000200441
thankfully,0,2145,2844,0.000200441
damage,0,2145,2844,0.000200441
thorough,0,2145,2844,0.000200441
cost,0,2145,2844,0.000200441
mightily,0,2145,2844,0.000200441
include,2,2145,2844,0.000601323
song,1,2145,2844,0.000400882
compilation,0,2145,2844,0.000200441
artist,1,2145,2844,0.000400882
name,4,2145,2844,0.001002205
exclaim,0,2145,2844,0.000200441
whole,1,2145,2844,0.000400882
total,0,2145,2844,0.000200441
chao,0,2145,2844,0.000200441
street,5,2145,2844,0.001202646
ethiopian,0,2145,2844,0.000200441
feed,1,2145,2844,0.000400882
station,1,2145,2844,0.000400882
believe,4,2145,2844,0.001002205
cool,5,2145,2844,0.001202646
purchase,0,2145,2844,0.000200441
survey,0,2145,2844,0.000200441
correction,0,2145,2844,0.000200441
kudo,0,2145,2844,0.000200441
alamo,0,2145,2844,0.000200441
ranch,0,2145,2844,0.000200441
resolve,0,2145,2844,0.000200441
hero,0,2145,2844,0.000200441
stand,1,2145,2844,0.000400882
line,6,2145,2844,0.001403087
newest,0,2145,2844,0.000200441
sucker,0,2145,2844,0.000200441
braille,0,2145,2844,0.000200441
bump,0,2145,2844,0.000200441
crush,1,2145,2844,0.000400882
already,1,2145,2844,0.000400882
schedule,0,2145,2844,0.000200441
summer,0,2145,2844,0.000200441
thursday,0,2145,2844,0.000200441
available,0,2145,2844,0.000200441
appointment,1,2145,2844,0.000400882
allow,1,2145,2844,0.000400882
push,0,2145,2844,0.000200441
Yap,0,2145,2844,0.000200441
message,0,2145,2844,0.000200441
icon,0,2145,2844,0.000200441
includ,0,2145,2844,0.000200441
require,0,2145,2844,0.000200441
reservation,0,2145,2844,0.000200441
crappy,0,2145,2844,0.000200441
keyboard,0,2145,2844,0.000200441
around,2,2145,2844,0.000601323
progress,1,2145,2844,0.000400882
function,1,2145,2844,0.000400882
page,0,2145,2844,0.000200441
awful,0,2145,2844,0.000200441
interrupt,0,2145,2844,0.000200441
piece,0,2145,2844,0.000200441
dollar,1,2145,2844,0.000400882
charg,1,2145,2844,0.000400882
slowly,1,2145,2844,0.000400882
solve,0,2145,2844,0.000200441
pick,0,2145,2844,0.000200441
set,0,2145,2844,0.000200441
calendar,0,2145,2844,0.000200441
item,0,2145,2844,0.000200441
program,0,2145,2844,0.000200441
software,0,2145,2844,0.000200441
repair,0,2145,2844,0.000200441
proper,0,2145,2844,0.000200441
consolidation,0,2145,2844,0.000200441
stop,3,2145,2844,0.000801764
lose,3,2145,2844,0.000801764
bought,0,2145,2844,0.000200441
ship,0,2145,2844,0.000200441
enable,0,2145,2844,0.000200441
plan,1,2145,2844,0.000400882
handle,0,2145,2844,0.000200441
prevent,0,2145,2844,0.000200441
audio,0,2145,2844,0.000200441
operate,0,2145,2844,0.000200441
properly,0,2145,2844,0.000200441
hater,0,2145,2844,0.000200441
buttery,0,2145,2844,0.000200441
finish,0,2145,2844,0.000200441
fast,1,2145,2844,0.000400882
signal,0,2145,2844,0.000200441
rapidly,0,2145,2844,0.000200441
canon,0,2145,2844,0.000200441
compact,0,2145,2844,0.000200441
flash,0,2145,2844,0.000200441
goe,3,2145,2844,0.000801764
damn,8,2145,2844,0.001803969
term,0,2145,2844,0.000200441
condition,0,2145,2844,0.000200441
read,2,2145,2844,0.000601323
late,1,2145,2844,0.000400882
screw,0,2145,2844,0.000200441
alarm,0,2145,2844,0.000200441
dose,0,2145,2844,0.000200441
decide,0,2145,2844,0.000200441
freeze,0,2145,2844,0.000200441
wont,0,2145,2844,0.000200441
annoy,0,2145,2844,0.000200441
officially,0,2145,2844,0.000200441
boycot,0,2145,2844,0.000200441
curse,0,2145,2844,0.000200441
wast,0,2145,2844,0.000200441
seek,0,2145,2844,0.000200441
japan,0,2145,2844,0.000200441
australia,0,2145,2844,0.000200441
patent,0,2145,2844,0.000200441
intensifi,0,2145,2844,0.000200441
injunction,0,2145,2844,0.000200441
sought,0,2145,2844,0.000200441
dead,4,2145,2844,0.001002205
restore,0,2145,2844,0.000200441
pain,0,2145,2844,0.000200441
room,0,2145,2844,0.000200441
undo,0,2145,2844,0.000200441
garbage,1,2145,2844,0.000400882
avail,0,2145,2844,0.000200441
site,3,2145,2844,0.000801764
browser,0,2145,2844,0.000200441
trouble,1,2145,2844,0.000400882
brightness,0,2145,2844,0.000200441
remember,1,2145,2844,0.000400882
enter,0,2145,2844,0.000200441
market,3,2145,2844,0.000801764
piss,0,2145,2844,0.000200441
certain,0,2145,2844,0.000200441
worse,0,2145,2844,0.000200441
newton,0,2145,2844,0.000200441
hockey,0,2145,2844,0.000200441
puck,0,2145,2844,0.000200441
painful,0,2145,2844,0.000200441
invention,0,2145,2844,0.000200441
account,3,2145,2844,0.000801764
suddenly,0,2145,2844,0.000200441
address,0,2145,2844,0.000200441
someone,4,2145,2844,0.001002205
window,0,2145,2844,0.000200441
compatible,0,2145,2844,0.000200441
care,2,2145,2844,0.000601323
restor,0,2145,2844,0.000200441
restriction,0,2145,2844,0.000200441
none,0,2145,2844,0.000200441
seemingly,0,2145,2844,0.000200441
endless,0,2145,2844,0.000200441
loop,0,2145,2844,0.000200441
investigate,0,2145,2844,0.000200441
terrible,0,2145,2844,0.000200441
apology,0,2145,2844,0.000200441
busy,1,2145,2844,0.000400882
stylu,0,2145,2844,0.000200441
forever,0,2145,2844,0.000200441
outside,0,2145,2844,0.000200441
daughter,0,2145,2844,0.000200441
drive,0,2145,2844,0.000200441
nut,0,2145,2844,0.000200441
blame,0,2145,2844,0.000200441
honest,0,2145,2844,0.000200441
complete,0,2145,2844,0.000200441
poor,0,2145,2844,0.000200441
slip,0,2145,2844,0.000200441
except,0,2145,2844,0.000200441
cute,0,2145,2844,0.000200441
eyelash,0,2145,2844,0.000200441
bat,0,2145,2844,0.000200441
shag,0,2145,2844,0.000200441
snatch,0,2145,2844,0.000200441
dependent,0,2145,2844,0.000200441
network,2,2145,2844,0.000601323
connection,1,2145,2844,0.000400882
utter,0,2145,2844,0.000200441
frustration,0,2145,2844,0.000200441
amus,1,2145,2844,0.000400882
seem,3,2145,2844,0.000801764
render,0,2145,2844,0.000200441
machine,0,2145,2844,0.000200441
incapable,0,2145,2844,0.000200441
zero,0,2145,2844,0.000200441
useful,1,2145,2844,0.000400882
commit,0,2145,2844,0.000200441
rain,0,2145,2844,0.000200441
soon,1,2145,2844,0.000400882
share,6,2145,2844,0.001403087
reminder,1,2145,2844,0.000400882
also,2,2145,2844,0.000601323
webpage,0,2145,2844,0.000200441
modify,0,2145,2844,0.000200441
crashe,0,2145,2844,0.000200441
congratulation,0,2145,2844,0.000200441
incompatible,0,2145,2844,0.000200441
vertical,0,2145,2844,0.000200441
mission,0,2145,2844,0.000200441
control,0,2145,2844,0.000200441
horizontal,0,2145,2844,0.000200441
business,5,2145,2844,0.001202646
nauseou,0,2145,2844,0.000200441
explain,5,2145,2844,0.001202646
distribut,0,2145,2844,0.000200441
succee,0,2145,2844,0.000200441
early,1,2145,2844,0.000400882
file,0,2145,2844,0.000200441
disappear,0,2145,2844,0.000200441
hurt,2,2145,2844,0.000601323
li,1,2145,2844,0.000400882
definitely,0,2145,2844,0.000200441
check,1,2145,2844,0.000400882
usage,1,2145,2844,0.000400882
huge,0,2145,2844,0.000200441
podcast,0,2145,2844,0.000200441
drop,1,2145,2844,0.000400882
ball,0,2145,2844,0.000200441
perhap,0,2145,2844,0.000200441
star,0,2145,2844,0.000200441
war,0,2145,2844,0.000200441
brain,0,2145,2844,0.000200441
password,0,2145,2844,0.000200441
protect,0,2145,2844,0.000200441
quickly,0,2145,2844,0.000200441
see,0,2145,2844,0.000200441
bar,0,2145,2844,0.000200441
return,0,2145,2844,0.000200441
anyway,1,2145,2844,0.000400882
start,9,2145,2844,0.00200441
knew,0,2145,2844,0.000200441
pink,1,2145,2844,0.000400882
hold,0,2145,2844,0.000200441
hindi,0,2145,2844,0.000200441
cheer,0,2145,2844,0.000200441
indian,0,2145,2844,0.000200441
language,0,2145,2844,0.000200441
warn,0,2145,2844,0.000200441
spontaneously,0,2145,2844,0.000200441
loose,0,2145,2844,0.000200441
might,1,2145,2844,0.000400882
fault,0,2145,2844,0.000200441
hopefully,1,2145,2844,0.000400882
figure,0,2145,2844,0.000200441
copy,0,2145,2844,0.000200441
hell,3,2145,2844,0.000801764
unhappy,0,2145,2844,0.000200441
change,3,2145,2844,0.000801764
input,0,2145,2844,0.000200441
number,5,2145,2844,0.001202646
handl,0,2145,2844,0.000200441
blue,4,2145,2844,0.001002205
minute,15,2145,2844,0.003207056
dupe,0,2145,2844,0.000200441
disappointment,0,2145,2844,0.000200441
inventor,0,2145,2844,0.000200441
excit,1,2145,2844,0.000400882
tragic,0,2145,2844,0.000200441
impression,0,2145,2844,0.000200441
dissent,0,2145,2844,0.000200441
multiple,0,2145,2844,0.000200441
connect,1,2145,2844,0.000400882
server,1,2145,2844,0.000400882
exercise,1,2145,2844,0.000400882
rename,0,2145,2844,0.000200441
bottleneck,0,2145,2844,0.000200441
chance,1,2145,2844,0.000400882
headphone,0,2145,2844,0.000200441
blast,0,2145,2844,0.000200441
ear,0,2145,2844,0.000200441
quite,1,2145,2844,0.000400882
obnoxiou,0,2145,2844,0.000200441
cloudy,0,2145,2844,0.000200441
techy,0,2145,2844,0.000200441
process,2,2145,2844,0.000601323
command,0,2145,2844,0.000200441
design,1,2145,2844,0.000400882
appropriately,0,2145,2844,0.000200441
project,0,2145,2844,0.000200441
resource,0,2145,2844,0.000200441
reliable,1,2145,2844,0.000400882
spoke,0,2145,2844,0.000200441
blare,0,2145,2844,0.000200441
direct,1,2145,2844,0.000400882
wrong,3,2145,2844,0.000801764
suspect,0,2145,2844,0.000200441
perfectly,0,2145,2844,0.000200441
ail,0,2145,2844,0.000200441
stink,0,2145,2844,0.000200441
inform,0,2145,2844,0.000200441
migrate,1,2145,2844,0.000400882
many,4,2145,2844,0.001002205
complaint,0,2145,2844,0.000200441
image,0,2145,2844,0.000200441
rape,0,2145,2844,0.000200441
small,1,2145,2844,0.000400882
realise,0,2145,2844,0.000200441
base,0,2145,2844,0.000200441
petty,0,2145,2844,0.000200441
original,0,2145,2844,0.000200441
location,0,2145,2844,0.000200441
domain,0,2145,2844,0.000200441
empty,0,2145,2844,0.000200441
skin,0,2145,2844,0.000200441
represent,0,2145,2844,0.000200441
tear,0,2145,2844,0.000200441
